Year, Average MHW(m) 
1922, 2.512 
1923, 2.5118333333333336 
1924, 2.524583333333334 
1925, 2.490416666666667 
1926, 2.4912499999999995 
1927, 2.549916666666667 
1928, 2.491916666666667 
1929, 2.4873333333333334 
1930, 2.4865833333333334 
1931, 2.5420833333333337 
1932, 2.5294166666666666 
1933, 2.557916666666667 
1934, 2.5105833333333334 
1935, 2.5664166666666666 
1936, 2.5660000000000003 
1937, 2.6060833333333338 
1938, 2.6042500000000004 
1939, 2.6266666666666665 
1940, 2.6370000000000005 
1941, 2.6080833333333335 
1942, 2.63575 
1943, 2.6095833333333336 
1944, 2.6345000000000005 
1945, 2.642666666666667 
1946, 2.629 
1947, 2.6079999999999997 
1948, 2.6316666666666664 
1949, 2.5730833333333334 
1950, 2.561833333333333 
1951, 2.6140833333333338 
1952, 2.6085 
1953, 2.6118333333333332 
1954, 2.59275 
1955, 2.6354166666666665 
1956, 2.6663333333333337 
1957, 2.6186666666666665 
1958, 2.687666666666667 
1959, 2.6296666666666666 
1960, 2.6781666666666673 
1961, 2.7070833333333333 
1962, 2.712333333333334 
1963, 2.67075 
1964, 2.643583333333333 
1965, 2.63625 
1966, 2.632833333333334 
1967, 2.667833333333333 
1968, 2.67025 
1969, 2.7096666666666667 
