Year, Average MSL(m) 
1922, 1.871 
1923, 1.886666666666667 
1924, 1.894583333333334 
1925, 1.8676666666666668 
1926, 1.8800833333333336 
1927, 1.92875 
1928, 1.8775833333333336 
1929, 1.8850833333333334 
1930, 1.8901666666666668 
1931, 1.9455 
1932, 1.9413333333333336 
1933, 1.9770833333333335 
1934, 1.9204166666666669 
1935, 1.9645833333333336 
1936, 1.9396666666666667 
1937, 1.985 
1938, 1.9811666666666665 
1939, 1.9959999999999998 
1940, 1.9956666666666667 
1941, 1.9774166666666668 
1942, 2.004166666666667 
1943, 1.977916666666667 
1944, 2.0111666666666665 
1945, 2.033083333333334 
1946, 2.0225833333333334 
1947, 2.0084166666666667 
1948, 2.0398333333333336 
1949, 1.9875 
1950, 1.9765000000000004 
1951, 2.0223333333333335 
1952, 2.021333333333333 
1953, 2.0195833333333333 
1954, 1.9940833333333334 
1955, 2.0245 
1956, 2.0515000000000003 
1957, 2.0003333333333333 
1958, 2.055916666666667 
1959, 1.998 
1960, 2.0420833333333333 
1961, 2.0840833333333335 
1962, 2.0836666666666663 
1963, 2.0456666666666665 
1964, 2.0395 
1965, 2.034583333333334 
1966, 2.0243333333333333 
1967, 2.0716666666666668 
1968, 2.077916666666667 
1969, 2.1205 
