Year, Number of Storms, Total SEPI 
1922, 2, 10.650783 
1923, 17, 123.744172 
1924, 15, 153.093872 
1925, 10, 96.625630 
1926, 13, 56.752606 
1927, 20, 162.069431 
1928, 15, 96.754837 
1929, 16, 125.073440 
1930, 19, 111.257547 
1931, 16, 131.514464 
1932, 17, 220.960090 
1933, 14, 203.390905 
1934, 21, 48.112229 
1935, 13, 179.733936 
1936, 18, 68.510217 
1937, 15, 128.880370 
1938, 19, 102.075096 
1939, 16, 135.806313 
1940, 17, 137.840731 
1941, 19, 99.398735 
1942, 15, 86.838924 
1943, 12, 141.232793 
1944, 13, 156.041220 
1945, 11, 208.103411 
1946, 18, 88.343435 
1947, 17, 126.802315 
1948, 19, 162.434374 
1949, 20, 93.985848 
1950, 11, 162.164947 
1951, 16, 129.148824 
1952, 16, 156.951668 
1953, 16, 126.382977 
1954, 17, 80.767835 
1955, 13, 118.489139 
1956, 12, 163.647114 
1957, 15, 110.767463 
1958, 20, 165.378769 
1959, 10, 58.410812 
1960, 19, 134.316973 
1961, 12, 172.191695 
1962, 8, 195.324427 
1963, 22, 86.617792 
1964, 16, 107.021876 
1965, 18, 66.163287 
1966, 12, 92.492398 
1967, 18, 144.991630 
1968, 12, 141.241132 
1969, 13, 118.610664 
