currentYear, averageSurge, standardDevSurge, surgeThreshold 
1922, 0.067804, 0.198254, 0.464311
1923, 0.000222, 0.144127, 0.288476
1924, 0.001016, 0.175213, 0.351441
1925, 0.000414, 0.183694, 0.367802
1926, 0.000368, 0.160314, 0.320996
1927, -0.000130, 0.162755, 0.325379
1928, 0.000426, 0.172136, 0.344699
1929, -0.001188, 0.173994, 0.346799
1930, 0.001485, 0.155909, 0.313302
1931, 0.000388, 0.156657, 0.313702
1932, 0.000664, 0.195065, 0.390793
1933, 0.001624, 0.196658, 0.394939
1934, 0.000688, 0.153379, 0.307446
1935, -0.000283, 0.159716, 0.319149
1936, 0.000353, 0.166032, 0.332417
1937, -0.000800, 0.161736, 0.322672
1938, -0.000948, 0.153321, 0.305693
1939, 0.000385, 0.172039, 0.344462
1940, -0.000705, 0.168018, 0.335331
1941, 0.000318, 0.166371, 0.333059
1942, 0.001316, 0.167553, 0.336422
1943, 0.000702, 0.164247, 0.329197
1944, -0.000136, 0.174350, 0.348565
1945, 0.003763, 0.180430, 0.364623
1946, 0.001341, 0.155254, 0.311849
1947, 0.000925, 0.179223, 0.359371
1948, 0.000448, 0.164498, 0.329443
1949, 0.000642, 0.148034, 0.296711
1950, -0.000188, 0.172677, 0.345165
1951, -0.000233, 0.162546, 0.324860
1952, 0.000388, 0.160087, 0.320563
1953, 0.004509, 0.165284, 0.335077
1954, 0.000158, 0.158697, 0.317551
1955, 0.000105, 0.172507, 0.345118
1956, -0.002691, 0.174158, 0.345625
1957, -0.000078, 0.151823, 0.303568
1958, 0.000421, 0.187326, 0.375074
1959, 0.014017, 0.171026, 0.356069
1960, 0.004763, 0.177457, 0.359677
1961, 0.001822, 0.178889, 0.359600
1962, 0.006082, 0.193028, 0.392137
1963, 0.000469, 0.168760, 0.337989
1964, 0.000507, 0.157902, 0.316311
1965, -0.001326, 0.135818, 0.270310
1966, 0.001226, 0.170695, 0.342616
1967, -0.002211, 0.164096, 0.325982
1968, -0.002429, 0.177898, 0.353366
1969, -0.004291, 0.169768, 0.335246
