1922-12-17 13:00:00, 1922-12-17 13:00:00, 0.984770, 0:00:00, 0.0 
1922-12-28 18:00:00, 1922-12-29 21:00:00, 13.407434, 1 day, 3:00:00, 0.0 
1922-12-30 09:00:00, 1922-12-30 11:00:00, 2.118674, 2:00:00, 0.0 
1923-01-03 23:00:00, 1923-01-04 14:00:00, 5.608518, 15:00:00, 0.0 
1923-01-07 14:00:00, 1923-01-08 18:00:00, 18.270841, 1 day, 4:00:00, 0.0 
1923-01-24 17:00:00, 1923-01-24 17:00:00, 0.955733, 0:00:00, 0.0 
1923-03-07 02:00:00, 1923-03-07 13:00:00, 8.185003, 11:00:00, 0.0 
1923-05-07 03:00:00, 1923-05-07 03:00:00, 0.930133, 0:00:00, 0.0 
1923-10-18 17:00:00, 1923-10-18 22:00:00, 6.703738, 5:00:00, 0.0 
1923-10-23 00:00:00, 1923-10-24 13:00:00, 33.959673, 1 day, 13:00:00, 0.0 
1923-11-12 13:00:00, 1923-11-12 15:00:00, 1.191467, 2:00:00, 0.0 
1923-11-14 17:00:00, 1923-11-15 20:00:00, 14.176348, 1 day, 3:00:00, 0.0 
1923-11-24 13:00:00, 1923-11-24 13:00:00, 0.997495, 0:00:00, 0.0 
1923-12-06 08:00:00, 1923-12-06 10:00:00, 2.244115, 2:00:00, 0.0 
1923-12-28 14:00:00, 1923-12-28 15:00:00, 0.973350, 1:00:00, 0.0 
1923-12-31 06:00:00, 1923-12-31 06:00:00, 0.936889, 0:00:00, 0.0 
1924-01-16 21:00:00, 1924-01-16 23:00:00, 3.422459, 2:00:00, 0.0 
1924-01-25 02:00:00, 1924-01-25 04:00:00, 2.377405, 2:00:00, 0.0 
1924-02-02 22:00:00, 1924-02-02 22:00:00, 0.937135, 0:00:00, 0.0 
1924-02-03 22:00:00, 1924-02-03 23:00:00, 1.077468, 1:00:00, 0.0 
1924-02-05 10:00:00, 1924-02-06 13:00:00, 16.947399, 1 day, 3:00:00, 0.0 
1924-02-12 18:00:00, 1924-02-13 07:00:00, 2.864061, 13:00:00, 0.0 
1924-02-20 10:00:00, 1924-02-21 01:00:00, 9.519986, 15:00:00, 0.0 
1924-02-27 18:00:00, 1924-02-28 06:00:00, 2.979054, 12:00:00, 0.0 
1924-03-11 01:00:00, 1924-03-13 07:00:00, 73.038489, 2 days, 6:00:00, 0.0 
1924-03-21 12:00:00, 1924-03-23 02:00:00, 35.015794, 1 day, 14:00:00, 0.0 
1924-03-26 16:00:00, 1924-03-26 16:00:00, 0.945254, 0:00:00, 0.0 
1924-03-27 05:00:00, 1924-03-27 07:00:00, 2.095927, 2:00:00, 0.0 
1924-04-01 21:00:00, 1924-04-01 23:00:00, 2.513271, 2:00:00, 0.0 
1924-05-12 06:00:00, 1924-05-12 08:00:00, 2.089191, 2:00:00, 0.0 
1924-08-26 19:00:00, 1924-08-26 20:00:00, 1.035844, 1:00:00, 0.0 
1924-09-18 03:00:00, 1924-09-18 03:00:00, 0.951724, 0:00:00, 0.0 
1924-10-30 03:00:00, 1924-10-30 03:00:00, 0.990301, 0:00:00, 0.0 
1924-11-22 22:00:00, 1924-11-22 22:00:00, 0.977041, 0:00:00, 0.0 
1925-01-01 04:00:00, 1925-01-01 17:00:00, 4.143280, 13:00:00, 0.0 
1925-01-02 05:00:00, 1925-01-03 19:00:00, 22.756889, 1 day, 14:00:00, 0.0 
1925-01-12 01:00:00, 1925-01-13 15:00:00, 21.865829, 1 day, 14:00:00, 0.0 
1925-01-20 06:00:00, 1925-01-20 10:00:00, 2.208173, 4:00:00, 0.0 
1925-01-29 02:00:00, 1925-01-30 04:00:00, 13.903462, 1 day, 2:00:00, 0.0 
1925-02-05 22:00:00, 1925-02-05 22:00:00, 0.900473, 0:00:00, 0.0 
1925-04-30 03:00:00, 1925-04-30 19:00:00, 10.606254, 16:00:00, 0.0 
1925-05-24 23:00:00, 1925-05-25 03:00:00, 4.371239, 4:00:00, 0.0 
1925-11-04 12:00:00, 1925-11-04 17:00:00, 3.000814, 5:00:00, 0.0 
1925-12-02 14:00:00, 1925-12-05 17:00:00, 35.947010, 3 days, 3:00:00, 0.0 
1925-12-21 04:00:00, 1925-12-21 06:00:00, 2.174236, 2:00:00, 0.0 
1926-01-09 07:00:00, 1926-01-09 10:00:00, 4.243874, 3:00:00, 0.0 
1926-02-01 01:00:00, 1926-02-02 04:00:00, 13.998894, 1 day, 3:00:00, 0.0 
1926-02-04 02:00:00, 1926-02-04 18:00:00, 13.693456, 16:00:00, 0.0 
1926-02-10 08:00:00, 1926-02-11 00:00:00, 13.557511, 16:00:00, 0.0 
1926-03-31 13:00:00, 1926-03-31 14:00:00, 1.243171, 1:00:00, 0.0 
1926-09-03 08:00:00, 1926-09-03 10:00:00, 1.049705, 2:00:00, 0.0 
1926-11-16 23:00:00, 1926-11-16 23:00:00, 0.995635, 0:00:00, 0.0 
1926-12-11 06:00:00, 1926-12-11 06:00:00, 0.923239, 0:00:00, 0.0 
1926-12-26 17:00:00, 1926-12-26 17:00:00, 0.994279, 0:00:00, 0.0 
1927-02-15 00:00:00, 1927-02-15 00:00:00, 1.029639, 0:00:00, 0.0 
1927-02-18 12:00:00, 1927-02-18 14:00:00, 1.011428, 2:00:00, 0.0 
1927-02-19 03:00:00, 1927-02-21 16:00:00, 60.206910, 2 days, 13:00:00, 0.0 
1927-03-02 22:00:00, 1927-03-03 14:00:00, 6.764619, 16:00:00, 0.0 
1927-03-22 03:00:00, 1927-03-22 03:00:00, 1.521130, 0:00:00, 0.0 
1927-03-24 15:00:00, 1927-03-24 16:00:00, 0.938590, 1:00:00, 0.0 
1927-03-25 04:00:00, 1927-03-25 17:00:00, 3.039466, 13:00:00, 0.0 
1927-03-26 17:00:00, 1927-03-27 05:00:00, 3.119553, 12:00:00, 0.0 
1927-04-02 22:00:00, 1927-04-03 14:00:00, 6.258659, 16:00:00, 0.0 
1927-07-02 13:00:00, 1927-07-02 16:00:00, 4.112499, 3:00:00, 0.0 
1927-08-27 00:00:00, 1927-08-27 03:00:00, 4.449724, 3:00:00, 0.0 
1927-10-04 06:00:00, 1927-10-04 06:00:00, 0.961909, 0:00:00, 0.0 
1927-10-17 17:00:00, 1927-10-17 17:00:00, 1.012033, 0:00:00, 0.0 
1927-10-18 05:00:00, 1927-10-19 18:00:00, 26.694263, 1 day, 13:00:00, 0.0 
1927-10-20 08:00:00, 1927-10-20 08:00:00, 0.933950, 0:00:00, 0.0 
1927-11-04 06:00:00, 1927-11-04 06:00:00, 0.897134, 0:00:00, 0.0 
1927-11-29 03:00:00, 1927-11-29 03:00:00, 0.873600, 0:00:00, 0.0 
1927-12-02 18:00:00, 1927-12-02 20:00:00, 2.435957, 2:00:00, 0.0 
1927-12-04 18:00:00, 1927-12-05 12:00:00, 20.493387, 18:00:00, 0.0 
1927-12-08 09:00:00, 1927-12-08 09:00:00, 1.011785, 0:00:00, 0.0 
1927-12-16 17:00:00, 1927-12-16 21:00:00, 6.657205, 4:00:00, 0.0 
1928-01-19 22:00:00, 1928-01-19 23:00:00, 1.200274, 1:00:00, 0.0 
1928-01-25 03:00:00, 1928-01-25 03:00:00, 1.017387, 0:00:00, 0.0 
1928-01-28 14:00:00, 1928-01-28 18:00:00, 3.173980, 4:00:00, 0.0 
1928-02-18 12:00:00, 1928-02-18 23:00:00, 2.227998, 11:00:00, 0.0 
1928-03-10 01:00:00, 1928-03-10 13:00:00, 3.806047, 12:00:00, 0.0 
1928-03-18 07:00:00, 1928-03-18 22:00:00, 10.552617, 15:00:00, 0.0 
1928-04-11 17:00:00, 1928-04-12 07:00:00, 10.348222, 14:00:00, 0.0 
1928-04-24 15:00:00, 1928-04-24 16:00:00, 0.950680, 1:00:00, 0.0 
1928-04-28 04:00:00, 1928-04-28 19:00:00, 8.895383, 15:00:00, 0.0 
1928-05-09 14:00:00, 1928-05-09 16:00:00, 2.015247, 2:00:00, 0.0 
1928-07-07 00:00:00, 1928-07-07 05:00:00, 4.591407, 5:00:00, 0.0 
1928-08-12 19:00:00, 1928-08-13 00:00:00, 6.329288, 5:00:00, 0.0 
1928-09-19 04:00:00, 1928-09-20 07:00:00, 30.744588, 1 day, 3:00:00, 0.0 
1928-09-30 10:00:00, 1928-10-01 03:00:00, 8.705370, 17:00:00, 0.0 
