Year, Average MHW(m) 
1971, 2.749833333333333 
1972, 2.748666666666667 
1973, 2.75625 
1974, 2.7604166666666665 
1975, 2.750583333333333 
1976, 2.682 
1977, 2.6947 
1978, 2.7534166666666664 
1979, 2.708416666666667 
1980, 2.6962500000000005 
1981, 2.701916666666667 
1982, 2.733416666666667 
1983, 2.7816666666666667 
1984, 2.7605833333333334 
1985, 2.7289999999999996 
1986, 2.752333333333333 
1987, 2.7687500000000003 
1988, 2.715666666666667 
1989, 2.717916666666667 
1990, 2.7252499999999995 
1991, 2.793083333333333 
1992, 2.8143333333333334 
1993, 2.844583333333333 
1994, 2.735 
1995, 2.78025 
1996, 2.8674166666666667 
1997, 2.8480833333333333 
1998, 2.8805 
1999, 2.8388333333333335 
2000, 2.7961666666666662 
2001, 2.79975 
2002, 2.818375 
2003, 2.7968333333333337 
2004, 2.7922499999999997 
2005, 2.845916666666666 
2006, 2.8257499999999998 
2007, 2.7908333333333335 
2008, 2.8164999999999996 
2009, 2.8708333333333336 
2010, 2.9149 
2011, 2.907833333333333 
2012, 2.9003333333333337 
2013, 2.8547500000000006 
2014, 2.889 
2015, 2.861166666666666 
2016, 2.9036666666666666 
2017, 2.9082500000000002 
2018, 2.9202499999999993 
2019, 2.9499166666666667 
2020, 2.9302499999999996 
2021, 2.9243333333333337 
2022, 2.9059166666666663 
