Year, Average MSL(m) 
1971, 2.15 
1972, 2.146333333333334 
1973, 2.1511666666666667 
1974, 2.1374166666666667 
1975, 2.129 
1976, 2.05175 
1977, 2.0613 
1978, 2.122833333333334 
1979, 2.082916666666667 
1980, 2.078583333333334 
1981, 2.0890833333333334 
1982, 2.1266666666666665 
1983, 2.186166666666667 
1984, 2.1692500000000003 
1985, 2.1398333333333333 
1986, 2.16375 
1987, 2.185083333333333 
1988, 2.128166666666667 
1989, 2.13025 
1990, 2.125833333333333 
1991, 2.1945833333333336 
1992, 2.2131666666666665 
1993, 2.240416666666667 
1994, 2.1245833333333333 
1995, 2.1519166666666667 
1996, 2.2463333333333333 
1997, 2.233 
1998, 2.26925 
1999, 2.229916666666667 
2000, 2.196333333333333 
2001, 2.2054166666666664 
2002, 2.2335 
2003, 2.2128333333333337 
2004, 2.22 
2005, 2.27575 
2006, 2.251833333333333 
2007, 2.2160000000000006 
2008, 2.242583333333333 
2009, 2.2871666666666663 
2010, 2.3263999999999996 
2011, 2.308833333333333 
2012, 2.2989166666666665 
2013, 2.2489166666666667 
2014, 2.2741666666666664 
2015, 2.2481666666666666 
2016, 2.289083333333333 
2017, 2.29875 
2018, 2.3125 
2019, 2.349416666666667 
2020, 2.3370833333333327 
2021, 2.342 
2022, 2.3249166666666663 
