Year, Number of Storms, Total SEPI 
1971, 12, 61.822130 
1972, 16, 182.367734 
1973, 21, 201.347245 
1974, 12, 91.835527 
1975, 19, 93.770724 
1976, 15, 71.052739 
1977, 12, 176.868409 
1978, 9, 76.921450 
1979, 16, 93.956181 
1980, 13, 143.436880 
1981, 15, 73.498632 
1982, 14, 122.092423 
1983, 23, 110.924732 
1984, 12, 150.091047 
1985, 11, 199.749674 
1986, 24, 75.492194 
1987, 15, 106.797857 
1988, 19, 140.602516 
1989, 18, 77.777762 
1990, 13, 97.691726 
1991, 10, 278.176016 
1992, 10, 258.517240 
1993, 16, 192.904926 
1994, 16, 135.672423 
1995, 10, 88.330091 
1996, 21, 182.452280 
1997, 22, 115.069690 
1998, 18, 223.420641 
1999, 20, 78.510725 
2000, 12, 80.941745 
2001, 10, 85.680152 
2002, 13, 73.530200 
2003, 10, 111.618569 
2004, 14, 88.236885 
2005, 18, 159.118761 
2006, 17, 158.259357 
2007, 18, 126.047041 
2008, 16, 136.008890 
2009, 14, 220.915473 
2010, 19, 139.124958 
2011, 21, 85.203079 
2012, 15, 200.356885 
2013, 10, 149.184006 
2014, 16, 145.309196 
2015, 8, 170.841509 
2016, 12, 187.948223 
2017, 15, 119.300461 
2018, 15, 213.267634 
2019, 11, 176.472979 
2020, 20, 110.440880 
2021, 13, 186.047323 
2022, 11, 223.029800 
