currentYear, averageSurge, standardDevSurge, surgeThreshold 
1971, -0.028286, 0.134396, 0.240506
1972, 0.003155, 0.188638, 0.380431
1973, 0.002083, 0.176850, 0.355784
1974, -0.002223, 0.175221, 0.348220
1975, 0.000431, 0.150985, 0.302401
1976, 0.001270, 0.167452, 0.336174
1977, -0.014420, 0.179935, 0.345450
1978, -0.023735, 0.180219, 0.336702
1979, -0.000138, 0.154232, 0.308326
1980, 0.000203, 0.178701, 0.357605
1981, 0.000284, 0.159394, 0.319071
1982, 0.000248, 0.182044, 0.364335
1983, -0.000120, 0.176417, 0.352714
1984, 0.000242, 0.152865, 0.305971
1985, 0.000170, 0.173147, 0.346464
1986, -0.000239, 0.159717, 0.319196
1987, 0.000837, 0.164661, 0.330158
1988, 0.000616, 0.154380, 0.309376
1989, -0.000035, 0.150110, 0.300185
1990, 0.001386, 0.154787, 0.310960
1991, 0.001035, 0.179637, 0.360308
1992, 0.007345, 0.177913, 0.363171
1993, 0.000185, 0.187961, 0.376106
1994, 0.000260, 0.163230, 0.326720
1995, 0.001460, 0.165799, 0.333057
1996, 0.000477, 0.176631, 0.353739
1997, 0.000304, 0.164522, 0.329348
1998, -0.001185, 0.173800, 0.346416
1999, -0.004569, 0.163582, 0.322596
2000, 0.000911, 0.169508, 0.339927
2001, -0.001358, 0.133328, 0.265298
2002, -0.027581, 0.154478, 0.281375
2003, 0.000747, 0.174935, 0.350616
2004, 0.000596, 0.153494, 0.307584
2005, 0.000464, 0.159898, 0.320261
2006, 0.000062, 0.166592, 0.333247
2007, 0.001106, 0.172946, 0.346998
2008, 0.000400, 0.170090, 0.340580
2009, 0.000183, 0.187307, 0.374797
2010, -0.006243, 0.159553, 0.312864
2011, 0.000886, 0.143538, 0.287962
2012, 0.000510, 0.164978, 0.330466
2013, 0.000487, 0.164058, 0.328602
2014, 0.000635, 0.157842, 0.316318
2015, 0.000641, 0.173084, 0.346808
2016, 0.000414, 0.175547, 0.351508
2017, -0.000833, 0.180169, 0.359505
2018, 0.000816, 0.182724, 0.366265
2019, 0.001308, 0.176231, 0.353771
2020, 0.000640, 0.160597, 0.321833
2021, -0.000197, 0.171284, 0.342372
2022, 0.001350, 0.174188, 0.349727
