1971-06-14 16:00:00, 1971-06-14 16:00:00, 1.080473, 0:00:00, 0.0 
1971-08-28 06:00:00, 1971-08-28 06:00:00, 3.402930, 0:00:00, 0.0 
1971-10-18 00:00:00, 1971-10-19 02:00:00, 9.446802, 1 day, 2:00:00, 0.0 
1971-10-24 14:00:00, 1971-10-25 05:00:00, 8.313038, 15:00:00, 0.0 
1971-11-17 13:00:00, 1971-11-17 14:00:00, 1.020478, 1:00:00, 0.0 
1971-11-25 05:00:00, 1971-11-25 08:00:00, 6.671781, 3:00:00, 0.0 
1971-11-29 22:00:00, 1971-11-29 23:00:00, 1.040741, 1:00:00, 0.0 
1972-02-02 16:00:00, 1972-02-04 04:00:00, 24.888995, 1 day, 12:00:00, 0.0 
1972-02-13 22:00:00, 1972-02-13 22:00:00, 1.313819, 0:00:00, 0.0 
1972-02-18 03:00:00, 1972-02-19 18:00:00, 33.340216, 1 day, 15:00:00, 0.0 
1972-03-14 22:00:00, 1972-03-15 02:00:00, 4.650831, 4:00:00, 0.0 
1972-03-17 01:00:00, 1972-03-17 01:00:00, 1.206767, 0:00:00, 0.0 
1972-03-17 13:00:00, 1972-03-17 13:00:00, 1.071112, 0:00:00, 0.0 
1972-03-18 01:00:00, 1972-03-18 01:00:00, 1.109317, 0:00:00, 0.0 
1972-04-08 05:00:00, 1972-04-08 07:00:00, 1.017070, 2:00:00, 0.0 
1972-05-09 21:00:00, 1972-05-09 23:00:00, 2.667459, 2:00:00, 0.0 
1972-06-22 07:00:00, 1972-06-22 11:00:00, 5.664794, 4:00:00, 0.0 
1972-09-03 07:00:00, 1972-09-03 19:00:00, 6.452556, 12:00:00, 0.0 
1972-09-20 12:00:00, 1972-09-21 11:00:00, 8.601656, 23:00:00, 0.0 
1972-11-05 01:00:00, 1972-11-05 01:00:00, 0.951883, 0:00:00, 0.0 
1972-11-05 14:00:00, 1972-11-05 14:00:00, 1.053064, 0:00:00, 0.0 
1972-11-08 11:00:00, 1972-11-08 16:00:00, 6.669988, 5:00:00, 0.0 
1972-11-11 02:00:00, 1972-11-11 18:00:00, 7.652249, 16:00:00, 0.0 
1972-11-14 16:00:00, 1972-11-15 08:00:00, 10.987198, 16:00:00, 0.0 
1972-11-16 06:00:00, 1972-11-16 09:00:00, 2.063383, 3:00:00, 0.0 
1972-11-26 14:00:00, 1972-11-26 14:00:00, 1.108105, 0:00:00, 0.0 
1972-12-01 07:00:00, 1972-12-01 07:00:00, 0.952908, 0:00:00, 0.0 
1972-12-15 17:00:00, 1972-12-16 06:00:00, 12.598092, 13:00:00, 0.0 
1972-12-21 11:00:00, 1972-12-25 14:00:00, 68.962377, 4 days, 3:00:00, 0.0 
1972-12-26 15:00:00, 1972-12-27 17:00:00, 10.923391, 1 day, 2:00:00, 0.0 
1972-12-28 05:00:00, 1972-12-28 05:00:00, 0.989393, 0:00:00, 0.0 
1973-01-04 12:00:00, 1973-01-04 12:00:00, 1.329945, 0:00:00, 0.0 
1973-01-22 14:00:00, 1973-01-22 14:00:00, 1.139413, 0:00:00, 0.0 
1973-01-28 08:00:00, 1973-01-28 09:00:00, 0.994926, 1:00:00, 0.0 
1973-01-29 06:00:00, 1973-01-29 11:00:00, 9.091817, 5:00:00, 0.0 
1973-02-07 01:00:00, 1973-02-08 05:00:00, 13.682662, 1 day, 4:00:00, 0.0 
1973-02-11 04:00:00, 1973-02-12 21:00:00, 32.572695, 1 day, 17:00:00, 0.0 
1973-03-22 00:00:00, 1973-03-24 17:00:00, 43.257247, 2 days, 17:00:00, 0.0 
1973-03-27 05:00:00, 1973-03-27 08:00:00, 3.339692, 3:00:00, 0.0 
1973-03-28 05:00:00, 1973-03-28 20:00:00, 7.780587, 15:00:00, 0.0 
1973-04-01 09:00:00, 1973-04-02 22:00:00, 16.122560, 1 day, 13:00:00, 0.0 
1973-04-03 10:00:00, 1973-04-05 04:00:00, 29.225175, 1 day, 18:00:00, 0.0 
1973-04-08 15:00:00, 1973-04-08 16:00:00, 1.616146, 1:00:00, 0.0 
1973-04-27 05:00:00, 1973-04-28 09:00:00, 12.564091, 1 day, 4:00:00, 0.0 
1973-05-24 16:00:00, 1973-05-24 18:00:00, 2.033846, 2:00:00, 0.0 
1973-05-25 17:00:00, 1973-05-26 08:00:00, 5.287332, 15:00:00, 0.0 
