Year, # of Verified points, # of Predicted points, # of Missing points
1922, 8759, 8760, 8020
1923, 8760, 8760, 0
1924, 8784, 8784, 0
1925, 8760, 8760, 0
1926, 8760, 8760, 0
1927, 8760, 8760, 0
1928, 8784, 8784, 0
1929, 8760, 8760, 0
1930, 8760, 8760, 0
1931, 8760, 8760, 0
1932, 8784, 8784, 0
1933, 8760, 8760, 1
1934, 8760, 8760, 0
1935, 8760, 8760, 0
1936, 8784, 8784, 0
1937, 8760, 8760, 0
1938, 8760, 8760, 837
1939, 8760, 8760, 0
1940, 8784, 8784, 0
1941, 8760, 8760, 0
1942, 8760, 8760, 0
1943, 8760, 8760, 0
1944, 8784, 8784, 0
1945, 8760, 8760, 0
1946, 8760, 8760, 0
1947, 8760, 8760, 0
1948, 8784, 8784, 0
1949, 8760, 8760, 0
1950, 8760, 8760, 0
1951, 8760, 8760, 393
1952, 8784, 8784, 0
1953, 8760, 8760, 0
1954, 8760, 8760, 0
1955, 8760, 8760, 0
1956, 8784, 8784, 0
1957, 8760, 8760, 0
1958, 8760, 8760, 0
1959, 8760, 8760, 1477
1960, 8784, 8784, 0
1961, 8760, 8760, 0
1962, 8760, 8760, 1855
1963, 8760, 8760, 0
1964, 8784, 8784, 0
1965, 8760, 8760, 218
1966, 8760, 8760, 0
1967, 8760, 8760, 0
1968, 8784, 8784, 0
1969, 8039, 8760, 0
