Year, # of Verified points, # of Predicted points, # of Missing points
1971, 8759, 8760, 3844
1972, 8784, 8784, 0
1973, 8760, 8760, 264
1974, 8760, 8760, 2723
1975, 8760, 8760, 0
1976, 8784, 8784, 158
1977, 8760, 8760, 812
1978, 7301, 8760, 482
1979, 8759, 8760, 4
1980, 8784, 8784, 0
1981, 8760, 8760, 0
1982, 8760, 8760, 0
1983, 8760, 8760, 0
1984, 8784, 8784, 0
1985, 8760, 8760, 0
1986, 8760, 8760, 0
1987, 8760, 8760, 0
1988, 8784, 8784, 0
1989, 8760, 8760, 0
1990, 8760, 8760, 0
1991, 8760, 8760, 0
1992, 8784, 8784, 1035
1993, 8760, 8760, 0
1994, 8760, 8760, 0
1995, 8760, 8760, 0
1996, 8784, 8784, 0
1997, 8760, 8760, 0
1998, 8760, 8760, 0
1999, 8760, 8760, 1396
2000, 8784, 8784, 0
2001, 8016, 8760, 470
2002, 8759, 8760, 2879
2003, 8760, 8760, 0
2004, 8784, 8784, 0
2005, 8760, 8760, 0
2006, 8760, 8760, 0
2007, 8760, 8760, 0
2008, 8784, 8784, 0
2009, 8760, 8760, 0
2010, 8760, 8760, 211
2011, 8760, 8760, 0
2012, 8784, 8784, 0
2013, 8760, 8760, 0
2014, 8760, 8760, 0
2015, 8760, 8760, 0
2016, 8784, 8784, 0
2017, 8760, 8760, 0
2018, 8760, 8760, 0
2019, 8760, 8760, 0
2020, 8784, 8784, 0
2021, 8760, 8760, 0
2022, 8760, 8760, 0
