Year, Average MSL(m) 
1921, 2.4928333333333335 
1922, 2.4664166666666665 
1923, 2.4620833333333336 
1924, 2.469666666666667 
1925, 2.4461666666666666 
1926, 2.456916666666667 
1927, 2.4899999999999998 
1928, 2.4590000000000005 
1929, 2.466833333333333 
1930, 2.4622499999999996 
1931, 2.512583333333334 
1932, 2.5054166666666666 
1933, 2.5308333333333333 
1934, 2.4739166666666668 
1935, 2.513833333333334 
1936, 2.4968333333333335 
1937, 2.5243333333333333 
1938, 2.535166666666667 
1939, 2.5399166666666666 
1940, 2.5435833333333333 
1941, 2.551 
1942, 2.56475 
1943, 2.5455000000000005 
1944, 2.55775 
1945, 2.609666666666667 
1946, 2.5765833333333337 
1947, 2.586583333333334 
1948, 2.595916666666667 
1949, 2.546583333333334 
1950, 2.5444999999999998 
1951, 2.6005000000000003 
1952, 2.5849166666666665 
1953, 2.58375 
1954, 2.5825833333333335 
1955, 2.5856666666666666 
1956, 2.5883333333333334 
1957, 2.55125 
1958, 2.6218333333333335 
1959, 2.5500833333333333 
1960, 2.6291666666666664 
1961, 2.6238333333333337 
1962, 2.6020833333333333 
1963, 2.5795833333333333 
1964, 2.5855 
1965, 2.586166666666667 
1966, 2.597333333333333 
1967, 2.610583333333333 
1968, 2.604 
1969, 2.64875 
1970, 2.6285833333333337 
1971, 2.642583333333333 
1972, 2.6631666666666667 
1973, 2.6612500000000003 
1974, 2.62525 
1975, 2.6365000000000003 
1976, 2.6010833333333334 
1977, 2.6266666666666665 
1978, 2.63675 
1979, 2.6029166666666668 
1980, 2.603333333333333 
1981, 2.62025 
1982, 2.6044166666666664 
1983, 2.6831666666666663 
1984, 2.657916666666667 
1985, 2.6519999999999997 
1986, 2.6337500000000005 
1987, 2.6514166666666665 
1988, 2.619666666666667 
1989, 2.6121666666666665 
1990, 2.6209166666666666 
1991, 2.6605000000000003 
1992, 2.6551666666666676 
1993, 2.6689166666666666 
1994, 2.614666666666667 
1995, 2.6562500000000004 
1996, 2.7139166666666665 
1997, 2.701833333333333 
1998, 2.72175 
1999, 2.670833333333333 
2000, 2.671416666666667 
2001, 2.66675 
2002, 2.666916666666667 
2003, 2.6879166666666667 
2004, 2.6894166666666663 
2005, 2.748416666666667 
2006, 2.7319999999999998 
2007, 2.696166666666667 
2008, 2.716833333333333 
2009, 2.7495 
2010, 2.8155 
2011, 2.7765 
2012, 2.758416666666666 
2013, 2.7495 
2014, 2.7507499999999996 
2015, 2.7215833333333332 
2016, 2.7595833333333335 
2017, 2.7653636363636367 
2018, 2.7720833333333332 
2019, 2.7898333333333336 
2020, 2.783416666666667 
2021, 2.7892500000000005 
2022, 2.766666666666667 
