Year, Number of Storms, Total SEPI 
1921, 5, 29.049434 
1922, 9, 35.853115 
1923, 11, 45.765735 
1924, 14, 76.662564 
1925, 13, 33.663651 
1926, 12, 84.522449 
1927, 14, 77.644615 
1928, 17, 30.398474 
1929, 22, 87.228185 
1930, 15, 51.185714 
1931, 13, 106.891426 
1932, 22, 132.577362 
1933, 13, 143.495773 
1934, 13, 60.301560 
1935, 11, 51.134881 
1936, 16, 43.539830 
1937, 20, 71.873090 
1938, 19, 47.747804 
1939, 16, 64.841179 
1940, 15, 83.095158 
1941, 9, 39.764385 
1942, 17, 61.338933 
1943, 13, 33.357576 
1944, 15, 90.289466 
1945, 7, 111.593080 
1946, 14, 39.293862 
1947, 21, 107.170496 
1948, 11, 83.245246 
1949, 9, 30.408131 
1950, 19, 127.443062 
1951, 22, 70.497899 
1952, 15, 88.267663 
1953, 25, 93.244130 
1954, 20, 61.706454 
1955, 22, 103.950863 
1956, 16, 104.222264 
1957, 13, 42.058772 
1958, 24, 193.898210 
1959, 11, 69.392417 
1960, 15, 75.686980 
1961, 19, 143.089468 
1962, 13, 103.483374 
1963, 26, 85.188085 
1964, 17, 77.108528 
1965, 26, 48.899882 
1966, 18, 78.165874 
1967, 22, 119.878953 
1968, 16, 78.076565 
1969, 18, 108.234293 
1970, 27, 73.641042 
1971, 18, 46.387253 
1972, 23, 132.337110 
1973, 18, 106.299184 
1974, 15, 48.692028 
1975, 18, 44.153036 
1976, 20, 41.670874 
1977, 19, 113.165377 
1978, 19, 137.685243 
1979, 8, 149.559397 
1980, 13, 46.231798 
1981, 14, 78.084170 
1982, 26, 86.907362 
1983, 31, 77.452891 
1984, 19, 89.050548 
1985, 20, 63.410932 
1986, 15, 49.525888 
1987, 21, 82.643972 
1988, 19, 56.715495 
1989, 19, 33.786395 
1990, 19, 67.638674 
1991, 12, 129.420503 
1992, 14, 120.961029 
1993, 20, 88.364208 
1994, 13, 81.019089 
1995, 15, 75.620562 
1996, 19, 95.332811 
1997, 18, 82.807618 
1998, 14, 104.645837 
1999, 20, 41.919096 
2000, 15, 66.342609 
2001, 11, 93.391056 
2002, 19, 67.543430 
2003, 20, 101.515725 
2004, 19, 75.470872 
2005, 24, 158.478354 
2006, 17, 83.429831 
2007, 19, 127.638807 
2008, 25, 72.635433 
2009, 18, 61.978279 
2010, 21, 147.024126 
2011, 25, 64.927490 
2012, 14, 130.891531 
2013, 10, 127.521229 
2014, 14, 92.909297 
2015, 11, 57.193550 
2016, 12, 65.322535 
2017, 22, 85.581300 
2018, 16, 213.176068 
2019, 20, 78.685933 
2020, 18, 81.807839 
2021, 13, 114.152038 
2022, 13, 60.918329 
