currentYear, averageSurge, standardDevSurge, surgeThreshold 
1921, -0.012865, 0.144838, 0.276811
1922, 0.001118, 0.148215, 0.297547
1923, -0.001601, 0.144620, 0.287638
1924, 0.001525, 0.153661, 0.308846
1925, 0.000708, 0.137638, 0.275983
1926, -0.000444, 0.145413, 0.290382
1927, -0.000156, 0.135871, 0.271585
1928, 0.001256, 0.137081, 0.275418
1929, -0.000845, 0.146884, 0.292923
1930, 0.000152, 0.142740, 0.285631
1931, 0.000568, 0.135236, 0.271040
1932, 0.001505, 0.153593, 0.308692
1933, 0.000234, 0.169079, 0.338392
1934, 0.000152, 0.136497, 0.273145
1935, 0.000837, 0.133436, 0.267709
1936, -0.000120, 0.138504, 0.276888
1937, -0.000862, 0.129776, 0.258690
1938, 0.001334, 0.130765, 0.262864
1939, 0.007442, 0.140482, 0.288406
1940, -0.000272, 0.148279, 0.296285
1941, -0.000166, 0.132983, 0.265800
1942, -0.000222, 0.143234, 0.286245
1943, -0.000067, 0.137690, 0.275314
1944, 0.003558, 0.147101, 0.297759
1945, -0.005488, 0.164147, 0.322806
1946, 0.000660, 0.129751, 0.260161
1947, -0.000717, 0.144396, 0.288074
1948, -0.001073, 0.135527, 0.269980
1949, 0.000382, 0.134747, 0.269876
1950, -0.000003, 0.152205, 0.304408
1951, 0.007980, 0.146279, 0.300538
1952, 0.014637, 0.136427, 0.287490
1953, 0.015725, 0.140803, 0.297331
1954, 0.016253, 0.141021, 0.298295
1955, 0.018235, 0.135047, 0.288329
1956, 0.018131, 0.144103, 0.306338
1957, 0.018666, 0.130511, 0.279688
1958, 0.025166, 0.178574, 0.382313
1959, 0.025633, 0.143351, 0.312335
1960, 0.000747, 0.141675, 0.284097
1961, 0.002522, 0.150980, 0.304483
1962, 0.006025, 0.155346, 0.316718
1963, 0.001631, 0.148082, 0.297795
1964, -0.000206, 0.136882, 0.273558
1965, 0.000836, 0.121070, 0.242976
1966, 0.001600, 0.137078, 0.275757
1967, 0.001935, 0.138773, 0.279481
1968, 0.000516, 0.143031, 0.286578
1969, -0.001371, 0.160475, 0.319578
1970, 0.000132, 0.136803, 0.273738
1971, 0.000302, 0.150305, 0.300912
1972, -0.000426, 0.156723, 0.313020
1973, 0.000349, 0.141022, 0.282392
1974, 0.003660, 0.138388, 0.280437
1975, -0.000532, 0.123292, 0.246053
1976, -0.002638, 0.141505, 0.280372
1977, 0.006071, 0.150509, 0.307089
1978, -0.000765, 0.144212, 0.287659
1979, 0.002433, 0.136551, 0.275535
1980, -0.000027, 0.135418, 0.270808
1981, 0.000851, 0.140938, 0.282727
1982, 0.000371, 0.141486, 0.283342
1983, -0.000638, 0.142361, 0.284083
1984, -0.000150, 0.137818, 0.275486
1985, 0.000481, 0.130247, 0.260975
1986, -0.000457, 0.142458, 0.284459
1987, 0.000766, 0.140638, 0.282043
1988, -0.000222, 0.129627, 0.259032
1989, 0.000154, 0.115458, 0.231071
1990, 0.000165, 0.130799, 0.261763
1991, -0.000227, 0.154627, 0.309028
1992, 0.000086, 0.137986, 0.276059
1993, 0.000248, 0.153354, 0.306956
1994, 0.000072, 0.133478, 0.267028
1995, 0.000430, 0.127563, 0.255557
1996, -0.000172, 0.148421, 0.296670
1997, 0.000300, 0.132151, 0.264602
1998, -0.000372, 0.151748, 0.303124
1999, -0.000660, 0.115678, 0.230697
2000, 0.000126, 0.131936, 0.263998
2001, 0.001292, 0.124818, 0.250928
2002, 0.000330, 0.135251, 0.270831
2003, 0.000490, 0.142349, 0.285188
2004, 0.000463, 0.130399, 0.261261
2005, 0.000718, 0.141373, 0.283465
2006, 0.000422, 0.125703, 0.251827
2007, 0.000005, 0.141982, 0.283968
2008, 0.000297, 0.133480, 0.267258
2009, 0.004399, 0.130506, 0.265410
2010, -0.000353, 0.150271, 0.300190
2011, -0.000002, 0.120146, 0.240291
2012, 0.000386, 0.140145, 0.280676
2013, 0.000726, 0.139347, 0.279419
2014, 0.000474, 0.132556, 0.265586
2015, -0.000151, 0.139345, 0.278539
2016, 0.000418, 0.118241, 0.236901
2017, 0.003259, 0.135931, 0.275120
2018, 0.000695, 0.165596, 0.331887
2019, 0.000546, 0.142439, 0.285425
2020, 0.000453, 0.134424, 0.269302
2021, 0.000531, 0.146463, 0.293457
2022, 0.000639, 0.131511, 0.263660
