Year, Average MHW(m) 
1922, 2.276 
1923, 2.261416666666667 
1924, 2.2773333333333334 
1925, 2.288583333333334 
1926, 2.221916666666667 
1927, 2.2395 
1928, 2.2455000000000003 
1929, 2.2397499999999995 
1930, 2.2267500000000005 
1931, 2.1963333333333335 
1932, 2.2440833333333337 
1933, 2.2810833333333336 
1934, 2.2253333333333334 
1935, 2.2961666666666667 
1936, 2.3041666666666667 
1937, 2.3221666666666665 
1938, 2.3139999999999996 
1939, 2.3122500000000006 
1940, 2.314916666666667 
1941, 2.293666666666667 
1942, 2.3380833333333335 
1943, 2.364 
1944, 2.392916666666667 
1945, 2.3517499999999996 
1946, 2.3770000000000002 
1947, 2.3883333333333336 
1948, 2.4491666666666667 
1949, 2.395833333333334 
1950, 2.3380833333333335 
1951, 2.360750000000001 
1952, 2.3636666666666666 
1953, 2.3565833333333335 
1954, 2.3632500000000003 
1955, 2.4019999999999997 
1956, 2.3635 
1957, 2.4386666666666668 
1958, 2.4077500000000005 
1959, 2.4165000000000005 
1960, 2.4570000000000003 
1961, 2.408583333333334 
1962, 2.4625000000000004 
1963, 2.3910000000000005 
1964, 2.3790833333333334 
1965, 2.3761666666666668 
1966, 2.389583333333333 
1967, 2.3808333333333334 
1968, 2.365 
1969, 2.3990833333333335 
1970, 2.41 
1971, 2.4181666666666666 
1972, 2.461 
1973, 2.4977500000000004 
1974, 2.474583333333334 
1975, 2.500833333333333 
1976, 2.4317500000000005 
1977, 2.4434166666666663 
1978, 2.4682500000000007 
1979, 2.450666666666667 
1980, 2.459333333333334 
1981, 2.423166666666667 
1982, 2.452 
1983, 2.506083333333333 
1984, 2.472583333333333 
1985, 2.457333333333333 
1986, 2.4620833333333336 
1987, 2.44225 
1988, 2.4073333333333333 
1989, 2.4200000000000004 
1990, 2.4468333333333336 
1991, 2.513416666666667 
1992, 2.503416666666667 
1993, 2.5031666666666665 
1994, 2.502 
1995, 2.5563333333333333 
1996, 2.482416666666667 
1997, 2.534666666666667 
1998, 2.5140833333333332 
1999, 2.57175 
2000, 2.533666666666667 
2001, 2.4964166666666663 
2002, 2.505916666666667 
2003, 2.481 
2004, 2.4524999999999997 
2005, 2.5184166666666665 
2006, 2.477 
2007, 2.50625 
2008, 2.4822500000000005 
2009, 2.5292499999999998 
2010, 2.514583333333333 
2011, 2.520666666666667 
2012, 2.5621666666666667 
2013, 2.56825 
2014, 2.6320833333333327 
2015, 2.641 
2016, 2.6432499999999997 
2017, 2.6105833333333335 
2018, 2.602416666666667 
2019, 2.682916666666667 
2020, 2.662833333333334 
2021, 2.631416666666667 
2022, 2.651666666666667 
