Year, Average MSL(m) 
1922, 1.5163333333333338 
1923, 1.4960833333333337 
1924, 1.5181666666666667 
1925, 1.5391666666666666 
1926, 1.4725833333333334 
1927, 1.4933333333333334 
1928, 1.5 
1929, 1.5061666666666669 
1930, 1.4951666666666668 
1931, 1.4666666666666668 
1932, 1.516333333333333 
1933, 1.5609166666666667 
1934, 1.4970833333333333 
1935, 1.5530833333333334 
1936, 1.5529166666666667 
1937, 1.5687500000000003 
1938, 1.5550833333333334 
1939, 1.53975 
1940, 1.5405 
1941, 1.5280833333333337 
1942, 1.5685833333333334 
1943, 1.5925833333333335 
1944, 1.6282500000000002 
1945, 1.5936666666666666 
1946, 1.6293333333333335 
1947, 1.6424166666666666 
1948, 1.7115 
1949, 1.6578333333333333 
1950, 1.5995833333333334 
1951, 1.618 
1952, 1.6234166666666665 
1953, 1.6104999999999998 
1954, 1.6104166666666668 
1955, 1.6455000000000002 
1956, 1.5893333333333333 
1957, 1.66575 
1958, 1.6169166666666666 
1959, 1.6271666666666669 
1960, 1.6674166666666668 
1961, 1.6231666666666669 
1962, 1.678583333333333 
1963, 1.6072500000000003 
1964, 1.60225 
1965, 1.6064999999999998 
1966, 1.6310833333333334 
1967, 1.6362500000000002 
1968, 1.6237500000000002 
1969, 1.6568333333333338 
1970, 1.6634166666666672 
1971, 1.6704166666666669 
1972, 1.7145833333333333 
1973, 1.7348333333333337 
1974, 1.702 
1975, 1.7213333333333336 
1976, 1.6434166666666667 
1977, 1.6529999999999998 
1978, 1.6751666666666667 
1979, 1.6553333333333333 
1980, 1.6715000000000002 
1981, 1.642166666666667 
1982, 1.6791666666666665 
1983, 1.7451666666666668 
1984, 1.7160000000000004 
1985, 1.7135833333333335 
1986, 1.7274166666666666 
1987, 1.7067500000000002 
1988, 1.6720833333333331 
1989, 1.6773333333333333 
1990, 1.6998333333333335 
1991, 1.76075 
1992, 1.7500833333333334 
1993, 1.7444166666666667 
1994, 1.7326666666666668 
1995, 1.7853333333333332 
1996, 1.7009166666666669 
1997, 1.7597499999999997 
1998, 1.7320833333333334 
1999, 1.8013333333333337 
2000, 1.7701666666666667 
2001, 1.7354999999999998 
2002, 1.7520833333333332 
2003, 1.7324166666666663 
2004, 1.7155833333333332 
2005, 1.7864166666666665 
2006, 1.7408333333333335 
2007, 1.7716666666666667 
2008, 1.7480833333333334 
2009, 1.7858333333333336 
2010, 1.7622499999999999 
2011, 1.7612500000000002 
2012, 1.805416666666667 
2013, 1.8045833333333334 
2014, 1.86275 
2015, 1.8736666666666666 
2016, 1.8763333333333332 
2017, 1.83875 
2018, 1.8365833333333332 
2019, 1.92725 
2020, 1.9135 
2021, 1.8919999999999997 
2022, 1.9185833333333335 
