Year, Number of Storms, Total SEPI 
1922, 19, 47.776250 
1923, 10, 9.612117 
1924, 12, 17.014902 
1925, 15, 15.690674 
1926, 18, 49.546314 
1927, 13, 15.658037 
1928, 18, 39.235483 
1929, 12, 34.126392 
1930, 17, 36.183289 
1931, 10, 40.858274 
1932, 17, 45.135115 
1933, 18, 47.465709 
1934, 15, 35.513144 
1935, 19, 23.471761 
1936, 6, 11.153119 
1937, 18, 27.169357 
1938, 11, 20.323862 
1939, 8, 8.676455 
1940, 14, 46.023465 
1941, 13, 21.197421 
1942, 5, 8.240384 
1943, 16, 35.783002 
1944, 7, 29.758646 
1945, 11, 35.699418 
1946, 9, 30.545170 
1947, 19, 66.614885 
1948, 15, 23.859512 
1949, 20, 37.646214 
1950, 8, 27.607111 
1951, 23, 22.270765 
1952, 14, 23.883616 
1953, 18, 23.634345 
1954, 10, 34.534159 
1955, 9, 13.919863 
1956, 20, 34.115163 
1957, 14, 43.313045 
1958, 19, 34.650990 
1959, 9, 81.622796 
1960, 17, 46.610241 
1961, 17, 24.515384 
1962, 13, 84.736789 
1963, 10, 64.801467 
1964, 19, 54.965694 
1965, 20, 28.028878 
1966, 12, 26.036304 
1967, 8, 26.399997 
1968, 19, 47.018611 
1969, 17, 71.844032 
1970, 16, 51.340112 
1971, 7, 58.751746 
1972, 13, 25.824440 
1973, 9, 60.674294 
1974, 19, 50.299707 
1975, 11, 28.342893 
1976, 12, 32.644269 
1977, 17, 32.819409 
1978, 11, 21.103719 
1979, 12, 40.361867 
1980, 20, 47.301288 
1981, 15, 43.741450 
1982, 21, 45.766329 
1983, 17, 74.353087 
1984, 15, 36.036526 
1985, 17, 40.553857 
1986, 12, 34.849800 
1987, 12, 52.207061 
1988, 15, 13.099302 
1989, 15, 79.597589 
1990, 11, 22.806529 
1991, 11, 40.144908 
1992, 16, 56.331136 
1993, 10, 50.106164 
1994, 17, 94.660727 
1995, 15, 31.815117 
1996, 10, 64.391362 
1997, 11, 45.799664 
1998, 13, 104.226027 
1999, 17, 58.875107 
2000, 15, 28.057880 
2001, 17, 64.900388 
2002, 12, 56.240035 
2003, 16, 22.290347 
2004, 12, 25.007521 
2005, 18, 45.800769 
2006, 16, 21.454125 
2007, 11, 45.621215 
2008, 13, 42.467107 
2009, 15, 70.351276 
2010, 13, 36.934223 
2011, 17, 39.988889 
2012, 16, 49.153479 
2013, 10, 53.365205 
2014, 12, 34.648536 
2015, 11, 76.627200 
2016, 15, 77.457954 
2017, 12, 69.685207 
2018, 13, 65.651503 
2019, 12, 41.971352 
2020, 15, 20.465770 
2021, 20, 37.317711 
2022, 11, 80.322154 
