currentYear, averageSurge, standardDevSurge, surgeThreshold 
1922, 0.003076, 0.152638, 0.308351
1923, 0.000014, 0.154187, 0.308387
1924, 0.001741, 0.163569, 0.328879
1925, 0.000149, 0.153962, 0.308073
1926, 0.001631, 0.151367, 0.304364
1927, 0.000418, 0.134320, 0.269058
1928, 0.000477, 0.146050, 0.292576
1929, -0.000389, 0.161162, 0.321936
1930, -0.000232, 0.161495, 0.322758
1931, -0.000205, 0.144442, 0.288679
1932, -0.000262, 0.146652, 0.293042
1933, -0.000004, 0.156764, 0.313524
1934, 0.000098, 0.139763, 0.279623
1935, -0.000046, 0.140948, 0.281851
1936, -0.000509, 0.154460, 0.308411
1937, -0.001661, 0.144116, 0.286572
1938, 0.002619, 0.155534, 0.313686
1939, 0.000901, 0.135823, 0.272548
1940, -0.002882, 0.155792, 0.308702
1941, -0.000336, 0.146221, 0.292107
1942, -0.000051, 0.150646, 0.301241
1943, 0.000677, 0.135557, 0.271791
1944, -0.000035, 0.150246, 0.300457
1945, 0.004062, 0.134060, 0.272182
1946, 0.004641, 0.140643, 0.285927
1947, 0.000035, 0.164260, 0.328554
1948, -0.000360, 0.149156, 0.297953
1949, 0.000115, 0.151460, 0.303035
1950, 0.003518, 0.142967, 0.289453
1951, 0.000218, 0.127608, 0.255433
1952, 0.004721, 0.136835, 0.278391
1953, -0.002010, 0.141857, 0.281704
1954, -0.000472, 0.156291, 0.312109
1955, 0.000278, 0.140480, 0.281237
1956, 0.000348, 0.150699, 0.301745
1957, 0.000670, 0.141296, 0.283262
1958, 0.004296, 0.136095, 0.276486
1959, 0.000354, 0.160727, 0.321807
1960, 0.000820, 0.155655, 0.312130
1961, 0.001680, 0.138571, 0.278821
1962, 0.000354, 0.164460, 0.329274
1963, 0.000044, 0.159761, 0.319567
1964, 0.000806, 0.156690, 0.314186
1965, -0.001919, 0.145366, 0.288814
1966, 0.003982, 0.160011, 0.324004
1967, 0.003027, 0.145611, 0.294248
1968, 0.000114, 0.156401, 0.312915
1969, -0.000646, 0.144227, 0.287808
1970, -0.001126, 0.144551, 0.287975
1971, 0.000125, 0.151451, 0.303027
1972, 0.004638, 0.152407, 0.309451
1973, 0.010538, 0.163951, 0.338440
1974, 0.000153, 0.140231, 0.280615
1975, -0.000295, 0.133777, 0.267258
1976, 0.001220, 0.144201, 0.289622
1977, 0.003862, 0.142272, 0.288406
1978, -0.000469, 0.145846, 0.291223
1979, -0.000294, 0.148081, 0.295868
1980, 0.000136, 0.168093, 0.336322
1981, -0.000183, 0.137000, 0.273817
1982, -0.000110, 0.137652, 0.275193
1983, -0.000717, 0.163761, 0.326804
1984, 0.000787, 0.151723, 0.304232
1985, -0.005089, 0.143609, 0.282130
1986, -0.000234, 0.149502, 0.298769
1987, -0.000011, 0.161730, 0.323449
1988, -0.000343, 0.130632, 0.260921
1989, 0.000904, 0.151243, 0.303391
1990, -0.001286, 0.133532, 0.265778
1991, -0.009189, 0.149170, 0.289150
1992, -0.000023, 0.158830, 0.317638
1993, -0.001192, 0.171441, 0.341689
1994, 0.000335, 0.164465, 0.329265
1995, 0.001871, 0.143618, 0.289106
1996, 0.000822, 0.149068, 0.298959
1997, -0.000102, 0.149785, 0.299469
1998, -0.001286, 0.171524, 0.341763
1999, -0.000613, 0.146337, 0.292062
2000, 0.000913, 0.139644, 0.280202
2001, 0.000864, 0.128571, 0.258007
2002, 0.000026, 0.147157, 0.294339
2003, 0.000180, 0.149722, 0.299624
2004, 0.000220, 0.144603, 0.289425
2005, -0.000345, 0.159461, 0.318578
2006, 0.000339, 0.127609, 0.255557
2007, 0.000707, 0.152651, 0.306009
2008, 0.000508, 0.141902, 0.284311
2009, 0.000799, 0.171681, 0.344162
2010, -0.000200, 0.146916, 0.293632
2011, 0.000861, 0.135510, 0.271881
2012, -0.000012, 0.148548, 0.297084
2013, 0.000547, 0.135611, 0.271770
2014, -0.000156, 0.137783, 0.275410
2015, 0.000653, 0.148747, 0.298147
2016, 0.000404, 0.151524, 0.303451
2017, -0.000151, 0.143064, 0.285977
2018, 0.000331, 0.140482, 0.281294
2019, 0.000392, 0.142851, 0.286095
2020, 0.000024, 0.142739, 0.285502
2021, -0.000269, 0.129970, 0.259670
2022, 0.000146, 0.154671, 0.309488
