Year, Average MHW(m) 
1938, 2.3485 
1939, 2.2824166666666668 
1940, 2.281416666666667 
1941, 2.2710000000000004 
1942, 2.28675 
1943, 2.2955 
1944, 2.3545833333333333 
1945, 2.2987499999999996 
1946, 2.3167500000000003 
1947, 2.3296666666666668 
1948, 2.3712500000000003 
1949, 2.31275 
1950, 2.26675 
1951, 2.237666666666667 
1952, 2.3188750000000002 
1953, 2.282583333333333 
1954, 2.2996666666666665 
1955, 2.3215 
1956, 2.291166666666667 
1957, 2.3636666666666666 
1958, 2.3327499999999994 
1959, 2.3493333333333335 
1960, 2.3906666666666667 
1961, 2.3107500000000005 
1962, 2.36375 
1963, 2.318166666666667 
1964, 2.3034166666666667 
1965, 2.3045000000000004 
1966, 2.3242500000000006 
1967, 2.317333333333334 
1968, 2.2910833333333334 
1969, 2.3311666666666664 
1970, 2.3053333333333335 
1971, 2.326333333333333 
1972, 2.3895833333333334 
1973, 2.3954999999999997 
1974, 2.3857499999999994 
1975, 2.409666666666667 
1976, 2.3426666666666667 
1977, 2.356666666666667 
1978, 2.3770000000000002 
1979, 2.348166666666667 
1980, 2.373083333333333 
1981, 2.335333333333334 
1982, 2.3588333333333336 
1983, 2.416083333333333 
1984, 2.3739166666666667 
1985, 2.377333333333333 
1986, 2.3878333333333335 
1987, 2.3667499999999997 
1988, 2.351666666666667 
1989, 2.33025 
1990, 2.3817500000000003 
1991, 2.45675 
1992, 2.4451666666666667 
1993, 2.42275 
1994, 2.429 
1995, 2.4715000000000003 
1996, 2.3586 
1997, 2.4465 
1998, 2.442166666666667 
1999, 2.4790000000000005 
2000, 2.438833333333333 
2001, 2.4165833333333335 
2002, 2.426083333333334 
2003, 2.4034166666666663 
2004, 2.3812499999999996 
2005, 2.447 
2006, 2.3837499999999996 
2007, 2.42975 
2008, 2.39225 
2009, 2.428166666666667 
2010, 2.411166666666667 
2011, 2.4055454545454547 
2012, 2.4609166666666664 
2013, 2.4719999999999995 
2014, 2.5313333333333334 
2015, 2.5416666666666665 
2016, 2.5193333333333334 
2017, 2.485583333333333 
2018, 2.4635833333333337 
2019, 2.551833333333333 
2020, 2.5199166666666666 
2021, 2.4981666666666666 
2022, 2.529666666666667 
