Year, Average MSL(m) 
1938, 1.4815 
1939, 1.3682500000000004 
1940, 1.3689166666666666 
1941, 1.3608333333333331 
1942, 1.3761666666666665 
1943, 1.3875000000000002 
1944, 1.4572500000000002 
1945, 1.4099166666666667 
1946, 1.4434166666666668 
1947, 1.4584166666666671 
1948, 1.5177500000000002 
1949, 1.4554166666666666 
1950, 1.4039166666666665 
1951, 1.3705555555555557 
1952, 1.46075 
1953, 1.4179166666666665 
1954, 1.4221666666666668 
1955, 1.4399166666666667 
1956, 1.3954166666666665 
1957, 1.4714999999999998 
1958, 1.4206666666666665 
1959, 1.4405833333333333 
1960, 1.4865000000000002 
1961, 1.41075 
1962, 1.4645000000000001 
1963, 1.4189166666666668 
1964, 1.4103333333333332 
1965, 1.4148333333333334 
1966, 1.444 
1967, 1.4513333333333334 
1968, 1.4263333333333332 
1969, 1.47075 
1970, 1.4339166666666665 
1971, 1.4545833333333331 
1972, 1.5250000000000001 
1973, 1.5199166666666668 
1974, 1.4967500000000002 
1975, 1.509916666666667 
1976, 1.433416666666667 
1977, 1.4410833333333333 
1978, 1.46375 
1979, 1.4304999999999997 
1980, 1.4555 
1981, 1.4270833333333333 
1982, 1.4661666666666668 
1983, 1.5331666666666663 
1984, 1.495 
1985, 1.50875 
1986, 1.5233333333333334 
1987, 1.5041666666666667 
1988, 1.4823333333333333 
1989, 1.46075 
1990, 1.5021666666666669 
1991, 1.5784166666666666 
1992, 1.561416666666667 
1993, 1.5295833333333337 
1994, 1.5384166666666665 
1995, 1.5597500000000002 
1996, 1.4177999999999997 
1997, 1.5267499999999998 
1998, 1.5150833333333333 
1999, 1.5719166666666666 
2000, 1.5325 
2001, 1.51675 
2002, 1.5374999999999999 
2003, 1.5175833333333335 
2004, 1.5017500000000001 
2005, 1.57975 
2006, 1.5039166666666668 
2007, 1.5610833333333334 
2008, 1.5214999999999999 
2009, 1.5459166666666668 
2010, 1.5120000000000002 
2011, 1.501 
2012, 1.5657500000000002 
2013, 1.5713333333333335 
2014, 1.6219999999999999 
2015, 1.6354999999999997 
2016, 1.6190833333333332 
2017, 1.5833333333333333 
2018, 1.562 
2019, 1.6659166666666667 
2020, 1.6460833333333331 
2021, 1.6290833333333332 
2022, 1.6691666666666667 
