Year, # of Verified points, # of Predicted points, # of Missing points
1938, 8759, 8760, 6933
1939, 8760, 8760, 0
1940, 8784, 8784, 0
1941, 8760, 8760, 0
1942, 8760, 8760, 0
1943, 8760, 8760, 237
1944, 8784, 8784, 0
1945, 8760, 8760, 0
1946, 8760, 8760, 0
1947, 8760, 8760, 0
1948, 8784, 8784, 0
1949, 8760, 8760, 0
1950, 8760, 8760, 0
1951, 6684, 8760, 0
1952, 8783, 8784, 2480
1953, 8760, 8760, 0
1954, 8760, 8760, 0
1955, 8760, 8760, 0
1956, 8784, 8784, 0
1957, 8760, 8760, 0
1958, 8760, 8760, 0
1959, 8760, 8760, 0
1960, 8784, 8784, 0
1961, 8760, 8760, 0
1962, 8760, 8760, 0
1963, 8760, 8760, 0
1964, 8784, 8784, 0
1965, 8760, 8760, 0
1966, 8021, 8760, 912
1967, 8759, 8760, 580
1968, 8784, 8784, 617
1969, 8760, 8760, 440
1970, 8760, 8760, 0
1971, 8760, 8760, 443
1972, 8784, 8784, 412
1973, 8760, 8760, 0
1974, 8760, 8760, 0
1975, 8760, 8760, 2184
1976, 8784, 8784, 464
1977, 8760, 8760, 0
1978, 8760, 8760, 280
1979, 8760, 8760, 0
1980, 8784, 8784, 0
1981, 8760, 8760, 0
1982, 8760, 8760, 175
1983, 8760, 8760, 0
1984, 8784, 8784, 0
1985, 8760, 8760, 0
1986, 8760, 8760, 0
1987, 8760, 8760, 0
1988, 8784, 8784, 237
1989, 8760, 8760, 462
1990, 8760, 8760, 0
1991, 8760, 8760, 0
1992, 8784, 8784, 0
1993, 8760, 8760, 0
1994, 8760, 8760, 1458
1995, 5011, 8760, 720
1996, 5253, 8784, 904
1997, 8759, 8760, 1579
1998, 8760, 8760, 0
1999, 8760, 8760, 0
2000, 8147, 8784, 0
2001, 8759, 8760, 210
2002, 8760, 8760, 461
2003, 8760, 8760, 899
2004, 8784, 8784, 0
2005, 8760, 8760, 0
2006, 8760, 8760, 0
2007, 8760, 8760, 0
2008, 8784, 8784, 0
2009, 8760, 8760, 0
2010, 8760, 8760, 0
2011, 8760, 8760, 160
2012, 8784, 8784, 0
2013, 8760, 8760, 0
2014, 8760, 8760, 0
2015, 8760, 8760, 0
2016, 8784, 8784, 0
2017, 8760, 8760, 0
2018, 8760, 8760, 0
2019, 8760, 8760, 0
2020, 8784, 8784, 0
2021, 8760, 8760, 0
2022, 8760, 8760, 0
