Year, Number of Storms, Total SEPI 
1938, 3, 5.543646 
1939, 17, 34.964032 
1940, 17, 69.567197 
1941, 12, 28.992322 
1942, 11, 15.017734 
1943, 17, 32.339848 
1944, 8, 44.854807 
1945, 13, 22.182874 
1946, 24, 42.767778 
1947, 23, 99.298756 
1948, 20, 43.527248 
1949, 16, 50.914192 
1950, 9, 81.155958 
1951, 13, 30.094700 
1952, 7, 26.964830 
1953, 25, 60.046140 
1954, 9, 43.213362 
1955, 14, 24.420685 
1956, 30, 59.629536 
1957, 18, 44.923740 
1958, 21, 27.623746 
1959, 18, 32.457637 
1960, 11, 46.595828 
1961, 14, 21.608631 
1962, 15, 78.261190 
1963, 10, 84.047524 
1964, 20, 148.238984 
1965, 16, 24.396273 
1966, 18, 28.818142 
1967, 18, 51.346518 
1968, 24, 66.288824 
1969, 16, 58.733125 
1970, 15, 20.605386 
1971, 15, 50.107841 
1972, 7, 43.564861 
1973, 17, 69.528788 
1974, 12, 32.756362 
1975, 5, 10.383825 
1976, 10, 39.727447 
1977, 10, 28.881403 
1978, 10, 23.936597 
1979, 13, 58.309867 
1980, 17, 26.560388 
1981, 18, 52.087741 
1982, 19, 32.853623 
1983, 12, 54.150684 
1984, 18, 47.402224 
1985, 16, 55.406122 
1986, 16, 38.046297 
1987, 15, 50.090347 
1988, 14, 19.782950 
1989, 22, 73.770988 
1990, 12, 39.613690 
1991, 10, 38.182524 
1992, 17, 124.366514 
1993, 14, 54.828588 
1994, 23, 44.401007 
1995, 4, 13.415683 
1996, 8, 44.946558 
1997, 14, 41.218023 
1998, 14, 81.815675 
1999, 13, 55.312011 
2000, 20, 31.440188 
2001, 19, 66.699418 
2002, 12, 47.043546 
2003, 9, 16.472047 
2004, 16, 74.014748 
2005, 17, 54.406651 
2006, 12, 20.990213 
2007, 20, 59.924456 
2008, 13, 85.763517 
2009, 10, 68.818390 
2010, 12, 26.951396 
2011, 17, 57.703256 
2012, 19, 59.639443 
2013, 12, 47.997693 
2014, 13, 40.987446 
2015, 17, 32.920888 
2016, 19, 82.045846 
2017, 14, 117.354340 
2018, 14, 53.147123 
2019, 13, 37.823880 
2020, 12, 54.889796 
2021, 10, 55.019101 
2022, 9, 112.746800 
