currentYear, averageSurge, standardDevSurge, surgeThreshold 
1938, -0.039474, 0.172643, 0.305812
1939, 0.000764, 0.147845, 0.296455
1940, 0.000090, 0.167551, 0.335191
1941, -0.000546, 0.166526, 0.332505
1942, -0.000211, 0.170900, 0.341588
1943, 0.004750, 0.159788, 0.324326
1944, -0.000379, 0.168616, 0.336853
1945, 0.001636, 0.143251, 0.288138
1946, 0.000722, 0.167032, 0.334786
1947, -0.002307, 0.199768, 0.397229
1948, 0.003251, 0.178899, 0.361050
1949, 0.000225, 0.179500, 0.359226
1950, 0.000388, 0.179511, 0.359410
1951, 0.034143, 0.143964, 0.322070
1952, -0.035630, 0.159343, 0.283056
1953, -0.004930, 0.179385, 0.353841
1954, -0.000161, 0.175373, 0.350585
1955, -0.000078, 0.159546, 0.319014
1956, 0.000606, 0.176183, 0.352972
1957, 0.000371, 0.171804, 0.343978
1958, 0.002058, 0.165656, 0.333370
1959, 0.003821, 0.179946, 0.363714
1960, 0.000523, 0.169435, 0.339392
1961, 0.000963, 0.154048, 0.309060
1962, 0.000707, 0.186429, 0.373564
1963, -0.000310, 0.202486, 0.404662
1964, 0.000668, 0.197830, 0.396327
1965, 0.000580, 0.174174, 0.348928
1966, 0.011696, 0.188677, 0.389050
1967, -0.006255, 0.176536, 0.346816
1968, 0.004236, 0.185002, 0.374239
1969, 0.004729, 0.173448, 0.351626
1970, 0.000976, 0.155295, 0.311566
1971, 0.004214, 0.170799, 0.345811
1972, -0.014396, 0.173301, 0.332206
1973, 0.000022, 0.171226, 0.342475
1974, -0.003232, 0.151646, 0.300061
1975, 0.019083, 0.146266, 0.311615
1976, 0.001593, 0.158960, 0.319514
1977, 0.000793, 0.141618, 0.284030
1978, -0.003442, 0.162221, 0.320999
1979, -0.000987, 0.170508, 0.340028
1980, 0.001117, 0.173874, 0.348866
1981, 0.000187, 0.154044, 0.308275
1982, -0.001234, 0.151278, 0.301323
1983, -0.000295, 0.183799, 0.367303
1984, 0.001025, 0.179006, 0.359037
1985, 0.001276, 0.162247, 0.325769
1986, -0.000753, 0.165513, 0.330274
1987, 0.000391, 0.183176, 0.366743
1988, 0.002408, 0.153270, 0.308948
1989, -0.007749, 0.178690, 0.349631
1990, 0.000302, 0.147419, 0.295139
1991, 0.000359, 0.184730, 0.369819
1992, 0.000091, 0.196922, 0.393934
1993, -0.000605, 0.197001, 0.393396
1994, 0.020348, 0.200226, 0.420800
1995, 0.015682, 0.147195, 0.310072
1996, 0.035295, 0.165426, 0.366148
1997, 0.000894, 0.166710, 0.334314
1998, -0.000732, 0.175344, 0.349955
1999, -0.000631, 0.160851, 0.321071
2000, 0.005750, 0.154420, 0.314590
2001, 0.003213, 0.146822, 0.296857
2002, 0.004166, 0.160506, 0.325179
2003, 0.003224, 0.164843, 0.332909
2004, -0.000201, 0.178579, 0.356957
2005, -0.000287, 0.188090, 0.375894
2006, 0.000384, 0.143833, 0.288051
2007, 0.000650, 0.179684, 0.360018
2008, 0.000630, 0.167965, 0.336560
2009, 0.000845, 0.184718, 0.370281
2010, -0.000666, 0.152871, 0.305077
2011, 0.014263, 0.155659, 0.325581
2012, -0.000155, 0.177290, 0.354425
2013, 0.000655, 0.161030, 0.322715
2014, -0.000269, 0.154565, 0.308860
2015, 0.000472, 0.162349, 0.325170
2016, 0.000382, 0.171076, 0.342535
2017, -0.000098, 0.175429, 0.350760
2018, 0.000129, 0.148655, 0.297438
2019, -0.000054, 0.164153, 0.328251
2020, 0.000129, 0.168282, 0.336693
2021, 0.001056, 0.148305, 0.297665
2022, -0.000208, 0.181370, 0.362533
