Year, Average MHW(m) 
1926, 1.6641666666666666 
1927, 1.6983333333333335 
1928, 1.6786666666666668 
1929, 1.6907500000000002 
1930, 1.6979166666666667 
1931, 1.6587499999999997 
1932, 1.7060000000000002 
1933, 1.7430833333333335 
1934, 1.6920833333333336 
1935, 1.72575 
1936, 1.752666666666667 
1937, 1.7693333333333332 
1938, 1.7292500000000004 
1939, 1.7421666666666669 
1940, 1.7151666666666667 
1941, 1.7228333333333332 
1942, 1.7655833333333337 
1943, 1.7668333333333333 
1944, 1.7619999999999998 
1945, 1.7363333333333335 
1946, 1.7800833333333335 
1947, 1.8109166666666667 
1948, 1.833916666666667 
1949, 1.7655 
1950, 1.7620000000000002 
1951, 1.7539166666666663 
1952, 1.7726666666666668 
1953, 1.834 
1954, 1.763 
1955, 1.7690000000000001 
1956, 1.7675 
1957, 1.7910000000000001 
1958, 1.7815 
1959, 1.7853333333333332 
1960, 1.8031666666666668 
1961, 1.786666666666667 
1962, 1.8027500000000003 
1963, 1.7729166666666665 
1964, 1.7201666666666668 
1965, 1.763 
1966, 1.7933333333333332 
1967, 1.7866666666666664 
1968, 1.7533333333333336 
1969, 1.7823333333333335 
1970, 1.782166666666667 
1971, 1.7869166666666667 
1972, 1.8221666666666667 
1973, 1.8470000000000002 
1974, 1.8284166666666668 
1975, 1.8415 
1976, 1.781666666666667 
1977, 1.8043333333333333 
1978, 1.8283333333333334 
1979, 1.8219166666666666 
1980, 1.8324999999999998 
1981, 1.8208333333333335 
1982, 1.8287499999999997 
1983, 1.832666666666667 
1984, 1.8328333333333335 
1985, 1.8353333333333337 
1986, 1.8702500000000004 
1987, 1.8448333333333335 
1988, 1.8234166666666667 
1989, 1.8020000000000003 
1990, 1.8265000000000002 
1991, 1.8910833333333334 
1992, 1.8709166666666668 
1993, 1.8662500000000002 
1994, 1.8705833333333333 
1995, 1.89475 
1996, 1.8107499999999999 
1997, 1.8549166666666668 
1998, 1.8486666666666667 
1999, 1.9044166666666664 
2000, 1.8806666666666667 
2001, 1.8405833333333332 
2002, 1.8744166666666666 
2003, 1.8521666666666665 
2004, 1.8569166666666665 
2005, 1.8868333333333334 
2006, 1.8657500000000002 
2007, 1.9019166666666665 
2008, 1.9035000000000002 
2009, 1.8952499999999999 
2010, 1.8905833333333335 
2011, 1.8865833333333333 
2012, 1.9320000000000002 
2013, 1.9423333333333332 
2014, 1.953545454545455 
2015, 1.983181818181818 
2016, 1.96875 
2017, 1.9628333333333332 
2018, 1.9243333333333332 
2019, 2.0110833333333336 
2020, 1.9974166666666668 
2021, 1.9739166666666668 
2022, 2.0325 
