Year, Average MSL(m) 
1926, 1.471916666666667 
1927, 1.5045833333333334 
1928, 1.4876666666666667 
1929, 1.4999166666666666 
1930, 1.50925 
1931, 1.4645000000000001 
1932, 1.5120000000000002 
1933, 1.5433333333333332 
1934, 1.4963333333333333 
1935, 1.5299166666666668 
1936, 1.5570833333333336 
1937, 1.5750833333333336 
1938, 1.5342500000000001 
1939, 1.5443333333333333 
1940, 1.5141666666666669 
1941, 1.5272500000000002 
1942, 1.57275 
1943, 1.5687500000000003 
1944, 1.5666666666666667 
1945, 1.5433333333333332 
1946, 1.5871666666666668 
1947, 1.6175833333333332 
1948, 1.6428333333333331 
1949, 1.57725 
1950, 1.5722500000000001 
1951, 1.5624999999999998 
1952, 1.582666666666667 
1953, 1.64875 
1954, 1.5719166666666666 
1955, 1.57575 
1956, 1.5728333333333335 
1957, 1.5973333333333333 
1958, 1.5824166666666668 
1959, 1.5877500000000004 
1960, 1.6050833333333336 
1961, 1.5923333333333334 
1962, 1.606 
1963, 1.570833333333333 
1964, 1.5260833333333335 
1965, 1.5678333333333334 
1966, 1.5949999999999998 
1967, 1.5976666666666663 
1968, 1.562083333333333 
1969, 1.5882499999999997 
1970, 1.5884166666666666 
1971, 1.5951666666666668 
1972, 1.6299166666666665 
1973, 1.6691666666666665 
1974, 1.6338333333333335 
1975, 1.6476666666666668 
1976, 1.5845833333333335 
1977, 1.6061666666666665 
1978, 1.63 
1979, 1.6251666666666669 
1980, 1.6375833333333334 
1981, 1.627416666666667 
1982, 1.63875 
1983, 1.6393333333333333 
1984, 1.6415833333333334 
1985, 1.6445833333333335 
1986, 1.68 
1987, 1.6543333333333334 
1988, 1.6355833333333332 
1989, 1.6190833333333334 
1990, 1.635666666666667 
1991, 1.6994999999999998 
1992, 1.6833333333333333 
1993, 1.67575 
1994, 1.6768333333333334 
1995, 1.7010000000000003 
1996, 1.6210000000000002 
1997, 1.6635 
1998, 1.6588333333333332 
1999, 1.7125000000000001 
2000, 1.6912500000000001 
2001, 1.6516666666666666 
2002, 1.6865833333333333 
2003, 1.6625833333333333 
2004, 1.6693333333333333 
2005, 1.696416666666667 
2006, 1.678333333333333 
2007, 1.7109166666666669 
2008, 1.7145 
2009, 1.7065000000000001 
2010, 1.70125 
2011, 1.6953333333333334 
2012, 1.7406666666666666 
2013, 1.7508333333333332 
2014, 1.7590000000000001 
2015, 1.7879090909090907 
2016, 1.7753333333333334 
2017, 1.7707499999999998 
2018, 1.7297500000000001 
2019, 1.8170833333333336 
2020, 1.806333333333333 
2021, 1.78 
2022, 1.8388333333333335 
