Year, Number of Storms, Total SEPI 
1926, 21, 28.723270 
1927, 16, 10.697288 
1928, 11, 7.919098 
1929, 14, 14.006234 
1930, 8, 6.206022 
1931, 14, 26.742147 
1932, 14, 39.969360 
1933, 8, 71.052357 
1934, 19, 11.540452 
1935, 15, 10.229815 
1936, 13, 19.538611 
1937, 13, 13.018523 
1938, 13, 10.237718 
1939, 20, 15.009565 
1940, 10, 18.556678 
1941, 14, 21.364623 
1942, 12, 34.515426 
1943, 13, 25.126987 
1944, 6, 30.397648 
1945, 1, 0.261708 
1946, 6, 39.237042 
1947, 14, 14.176336 
1948, 10, 37.006004 
1949, 9, 23.788132 
1950, 10, 15.746704 
1951, 15, 18.885969 
1952, 15, 4.418700 
1953, 2, 0.784844 
1954, 7, 10.101761 
1955, 6, 3.956010 
1956, 9, 43.888201 
1957, 7, 4.654757 
1958, 14, 45.412417 
1959, 17, 19.939018 
1960, 10, 17.003023 
1961, 17, 8.557960 
1962, 11, 39.883303 
1963, 12, 27.097760 
1964, 10, 5.152462 
1965, 8, 31.233153 
1966, 10, 21.737611 
1967, 11, 12.064805 
1968, 15, 19.988494 
1969, 9, 19.789313 
1970, 16, 20.958197 
1971, 17, 33.059528 
1972, 10, 17.612879 
1973, 12, 33.894264 
1974, 5, 59.641148 
1975, 7, 5.237619 
1976, 12, 13.255689 
1977, 9, 14.055527 
1978, 9, 16.925209 
1979, 17, 22.134178 
1980, 11, 10.673876 
1981, 7, 26.340168 
1982, 10, 19.542662 
1983, 7, 24.071394 
1984, 13, 27.159106 
1985, 8, 24.577970 
1986, 13, 38.744183 
1987, 16, 20.185806 
1988, 13, 15.184389 
1989, 2, 0.676944 
1990, 9, 9.551304 
1991, 14, 25.449732 
1992, 9, 38.799595 
1993, 13, 24.071850 
1994, 16, 27.964169 
1995, 12, 28.206845 
1996, 12, 36.141590 
1997, 5, 3.181985 
1998, 11, 37.083807 
1999, 7, 40.239868 
2000, 7, 4.466437 
2001, 8, 49.266508 
2002, 13, 14.693442 
2003, 14, 14.409178 
2004, 17, 7.950034 
2005, 11, 64.429840 
2006, 12, 8.451566 
2007, 15, 25.176364 
2008, 9, 75.582848 
2009, 6, 31.463292 
2010, 9, 9.339492 
2011, 3, 32.159416 
2012, 7, 53.270996 
2013, 12, 17.969128 
2014, 16, 17.641537 
2015, 14, 41.696804 
2016, 16, 26.347546 
2017, 5, 51.937923 
2018, 14, 24.983529 
2019, 10, 73.546135 
2020, 11, 69.898212 
2021, 12, 26.757241 
2022, 13, 46.288646 
