currentYear, averageSurge, standardDevSurge, surgeThreshold 
1926, 0.005791, 0.071761, 0.149314
1927, 0.003180, 0.053476, 0.110132
1928, 0.000900, 0.065158, 0.131216
1929, 0.003228, 0.071333, 0.145894
1930, 0.002659, 0.066417, 0.135493
1931, 0.005481, 0.062088, 0.129657
1932, 0.003575, 0.066545, 0.136666
1933, 0.003768, 0.073861, 0.151490
1934, 0.007537, 0.049130, 0.105797
1935, 0.003956, 0.065614, 0.135185
1936, 0.000361, 0.067157, 0.134675
1937, -0.000226, 0.066374, 0.132522
1938, 0.000024, 0.053767, 0.107559
1939, 0.000476, 0.056381, 0.113238
1940, 0.000673, 0.063511, 0.127694
1941, -0.000236, 0.066618, 0.133000
1942, 0.000254, 0.065127, 0.130507
1943, 0.000378, 0.068632, 0.137641
1944, 0.000045, 0.064536, 0.129117
1945, 0.012440, 0.064117, 0.140674
1946, 0.010381, 0.067035, 0.144450
1947, -0.002849, 0.077360, 0.151871
1948, 0.000050, 0.064472, 0.128994
1949, 0.003767, 0.065776, 0.135320
1950, 0.002992, 0.062179, 0.127350
1951, 0.003816, 0.053857, 0.111529
1952, -0.004270, 0.056674, 0.109077
1953, -0.069263, 0.069059, 0.068854
1954, -0.000241, 0.066855, 0.133468
1955, 0.000033, 0.073167, 0.146367
1956, 0.000590, 0.074510, 0.149611
1957, -0.000189, 0.067665, 0.135142
1958, 0.001605, 0.073132, 0.147869
1959, 0.000926, 0.066267, 0.133459
1960, 0.000678, 0.065254, 0.131186
1961, -0.000477, 0.070460, 0.140443
1962, 0.000914, 0.069648, 0.140211
1963, 0.006423, 0.069977, 0.146378
1964, 0.009449, 0.062063, 0.133576
1965, -0.008921, 0.063764, 0.118607
1966, 0.000886, 0.065817, 0.132519
1967, -0.002935, 0.060659, 0.118384
1968, 0.003265, 0.066116, 0.135497
1969, -0.006206, 0.065472, 0.124738
1970, -0.002508, 0.066903, 0.131299
1971, -0.001121, 0.075749, 0.150378
1972, 0.000121, 0.067575, 0.135272
1973, 0.000426, 0.075487, 0.151399
1974, -0.002865, 0.064603, 0.126340
1975, -0.006721, 0.064351, 0.121981
1976, -0.002323, 0.059796, 0.117270
1977, 0.002213, 0.066999, 0.136210
1978, 0.001704, 0.065597, 0.132897
1979, 0.002026, 0.066883, 0.135793
1980, 0.002266, 0.066593, 0.135452
1981, 0.000251, 0.063339, 0.126930
1982, 0.000425, 0.058901, 0.118228
1983, -0.001696, 0.073758, 0.145819
1984, -0.000207, 0.072460, 0.144714
1985, 0.005038, 0.062888, 0.130814
1986, 0.000156, 0.072517, 0.145191
1987, 0.000442, 0.076604, 0.153649
1988, 0.000327, 0.067022, 0.134371
1989, -0.000003, 0.080984, 0.161964
1990, 0.000004, 0.062624, 0.125252
1991, 0.000621, 0.067927, 0.136475
1992, -0.000160, 0.071673, 0.143185
1993, 0.000229, 0.071313, 0.142855
1994, -0.000079, 0.068004, 0.135929
1995, 0.001298, 0.073736, 0.148769
1996, 0.000331, 0.071391, 0.143112
1997, 0.000073, 0.066313, 0.132698
1998, 0.000085, 0.068810, 0.137705
1999, -0.000312, 0.065024, 0.129737
2000, 0.000318, 0.060552, 0.121422
2001, 0.001110, 0.071291, 0.143691
2002, -0.000154, 0.066689, 0.133223
2003, 0.005643, 0.065157, 0.135957
2004, 0.000011, 0.061245, 0.122501
2005, 0.000018, 0.081783, 0.163584
2006, -0.000952, 0.059529, 0.118106
2007, 0.000834, 0.080273, 0.161380
2008, 0.000695, 0.089404, 0.179504
2009, 0.000906, 0.086087, 0.173081
2010, -0.000333, 0.068058, 0.135784
2011, 0.000956, 0.073374, 0.147703
2012, 0.000280, 0.083142, 0.166563
2013, 0.000286, 0.054013, 0.108312
2014, 0.005624, 0.059990, 0.125605
2015, -0.005110, 0.065759, 0.126408
2016, 0.000305, 0.075497, 0.151300
2017, 0.000401, 0.076020, 0.152441
2018, 0.000786, 0.067957, 0.136700
2019, 0.000633, 0.073802, 0.148236
2020, 0.000093, 0.073533, 0.147159
2021, 0.000253, 0.056856, 0.113964
2022, 0.000174, 0.063777, 0.127728
