Year, Average MHW(m) 
1947, 1.7536666666666667 
1948, 1.7600833333333332 
1949, 1.7281666666666669 
1950, 1.7044166666666667 
1951, 1.7657500000000004 
1952, 1.7730833333333333 
1953, 1.7648333333333335 
1954, 1.7650000000000003 
1955, 1.792083333333334 
1956, 1.8062500000000001 
1957, 1.7872500000000002 
1958, 1.8583333333333334 
1959, 1.7893999999999999 
1960, 1.830416666666667 
1961, 1.8195 
1962, 1.8145 
1963, 1.7745 
1964, 1.7575000000000003 
1965, 1.7658333333333334 
1966, 1.7750833333333336 
1967, 1.7973333333333332 
1968, 1.7792499999999996 
1969, 1.8070833333333336 
1970, 1.808666666666667 
1971, 1.82925 
1972, 1.766 
1973, 1.848916666666667 
1974, 1.8255 
1975, 1.830583333333333 
1976, 1.8055 
1977, 1.826125 
1978, 1.8395833333333336 
1979, 1.8035833333333338 
1980, 1.7886666666666668 
1981, 1.8094166666666665 
1982, 1.8008333333333335 
1983, 1.8713333333333333 
1984, 1.850666666666667 
1985, 1.8280833333333337 
1986, 1.8224166666666666 
1987, 1.8416666666666668 
1988, 1.8024166666666668 
1989, 1.7940833333333333 
1990, 1.8077500000000002 
1991, 1.8579166666666664 
1992, 1.8603333333333338 
1993, 1.8754285714285714 
1994, 1.8388333333333335 
1995, 1.8810833333333334 
1996, 1.9250833333333335 
1997, 1.9183333333333332 
1998, 1.9427500000000002 
1999, 1.9044166666666669 
2000, 1.878166666666667 
2001, 1.8991666666666662 
2002, 1.8717499999999998 
2003, 1.87425 
2004, 1.9162857142857146 
2005, 1.9343750000000002 
2006, 1.939375 
2007, 1.8834166666666663 
2008, 1.9080833333333331 
2009, 1.9480833333333332 
2010, 1.9942222222222223 
2011, 1.9795 
2012, 1.9775000000000003 
2013, 1.96 
2014, 1.9649999999999999 
2015, 1.9295 
2016, 1.9774166666666673 
2017, 1.9867000000000001 
2018, 1.9983333333333333 
2019, 2.0078333333333336 
2020, 1.9968333333333332 
2021, 1.9919166666666666 
2022, 1.9724166666666667 
