Year, Average MSL(m) 
1947, 1.4346666666666668 
1948, 1.4550833333333333 
1949, 1.4268333333333334 
1950, 1.3986666666666665 
1951, 1.4585 
1952, 1.4669999999999999 
1953, 1.4610833333333335 
1954, 1.453 
1955, 1.4761666666666666 
1956, 1.4832500000000002 
1957, 1.4594166666666666 
1958, 1.5203333333333335 
1959, 1.449 
1960, 1.493166666666667 
1961, 1.4985833333333334 
1962, 1.4875833333333333 
1963, 1.4479166666666667 
1964, 1.4383333333333335 
1965, 1.4497499999999999 
1966, 1.4573333333333334 
1967, 1.4900833333333336 
1968, 1.4739166666666668 
1969, 1.50425 
1970, 1.5068333333333335 
1971, 1.5197500000000002 
1972, 1.4525000000000001 
1973, 1.538166666666667 
1974, 1.5072500000000002 
1975, 1.5101666666666667 
1976, 1.4902499999999999 
1977, 1.4968749999999997 
1978, 1.5105833333333332 
1979, 1.4840000000000002 
1980, 1.4706666666666666 
1981, 1.4883333333333333 
1982, 1.4853333333333334 
1983, 1.5629166666666665 
1984, 1.5498333333333336 
1985, 1.5260833333333335 
1986, 1.52525 
1987, 1.5454999999999999 
1988, 1.50575 
1989, 1.4968333333333332 
1990, 1.508916666666667 
1991, 1.5521666666666667 
1992, 1.5521666666666667 
1993, 1.5635714285714286 
1994, 1.5233333333333334 
1995, 1.55875 
1996, 1.6128333333333333 
1997, 1.6050000000000002 
1998, 1.6265 
1999, 1.5858333333333334 
2000, 1.5732499999999998 
2001, 1.5930833333333336 
2002, 1.5655000000000001 
2003, 1.5825833333333332 
2004, 1.6231428571428572 
2005, 1.6455 
2006, 1.6535 
2007, 1.5977500000000002 
2008, 1.6204999999999998 
2009, 1.6578333333333337 
2010, 1.6987777777777775 
2011, 1.6795833333333334 
2012, 1.6726666666666665 
2013, 1.652583333333333 
2014, 1.6470909090909094 
2015, 1.6188333333333331 
2016, 1.66325 
2017, 1.6744999999999997 
2018, 1.6927499999999995 
2019, 1.7052500000000002 
2020, 1.6976666666666667 
2021, 1.697 
2022, 1.6778333333333337 
