Year, # of Verified points, # of Predicted points, # of Missing points
1947, 8759, 8760, 5980
1948, 8784, 8784, 400
1949, 8760, 8760, 0
1950, 8760, 8760, 0
1951, 8760, 8760, 0
1952, 8784, 8784, 804
1953, 8760, 8760, 186
1954, 8760, 8760, 0
1955, 8760, 8760, 0
1956, 8784, 8784, 0
1957, 8760, 8760, 0
1958, 8760, 8760, 254
1959, 8760, 8760, 4290
1960, 8784, 8784, 0
1961, 8760, 8760, 451
1962, 8760, 8760, 0
1963, 8760, 8760, 0
1964, 8784, 8784, 0
1965, 8760, 8760, 865
1966, 8760, 8760, 1118
1967, 8760, 8760, 3002
1968, 8714, 8784, 456
1969, 8759, 8760, 1076
1970, 8431, 8760, 967
1971, 8759, 8760, 3193
1972, 8784, 8784, 5552
1973, 8760, 8760, 93
1974, 8760, 8760, 4560
1975, 8760, 8760, 0
1976, 8784, 8784, 2
1977, 8760, 8760, 1865
1978, 8760, 8760, 0
1979, 8760, 8760, 18
1980, 8784, 8784, 0
1981, 8760, 8760, 167
1982, 8760, 8760, 1675
1983, 8760, 8760, 0
1984, 8784, 8784, 0
1985, 8175, 8760, 0
1986, 8759, 8760, 258
1987, 8760, 8760, 0
1988, 8784, 8784, 0
1989, 8760, 8760, 0
1990, 8760, 8760, 0
1991, 8760, 8760, 1449
1992, 8784, 8784, 0
1993, 8760, 8760, 934
1994, 8721, 8760, 1500
1995, 8759, 8760, 256
1996, 8784, 8784, 0
1997, 8760, 8760, 0
1998, 8760, 8760, 0
1999, 8760, 8760, 296
2000, 8784, 8784, 1036
2001, 8760, 8760, 0
2002, 8760, 8760, 0
2003, 8760, 8760, 889
2004, 8784, 8784, 2661
2005, 8760, 8760, 2000
2006, 8760, 8760, 1509
2007, 8760, 8760, 179
2008, 8784, 8784, 0
2009, 8760, 8760, 0
2010, 8760, 8760, 433
2011, 8760, 8760, 0
2012, 8784, 8784, 0
2013, 8760, 8760, 0
2014, 8760, 8760, 370
2015, 8760, 8760, 0
2016, 8784, 8784, 0
2017, 8760, 8760, 714
2018, 8760, 8760, 0
2019, 8760, 8760, 412
2020, 8784, 8784, 0
2021, 8760, 8760, 0
2022, 8760, 8760, 0
