Year, Number of Storms, Total SEPI 
1947, 9, 78.694501 
1948, 25, 115.716788 
1949, 22, 76.830711 
1950, 18, 144.534455 
1951, 24, 107.425998 
1952, 19, 116.263223 
1953, 26, 120.410720 
1954, 25, 91.671934 
1955, 17, 132.558432 
1956, 23, 156.040522 
1957, 30, 107.479976 
1958, 20, 261.836487 
1959, 8, 57.779519 
1960, 18, 144.610117 
1961, 22, 202.133973 
1962, 17, 182.401657 
1963, 27, 118.829036 
1964, 20, 116.983374 
1965, 24, 80.539517 
1966, 23, 113.959953 
1967, 20, 110.163625 
1968, 14, 128.809222 
1969, 19, 145.028884 
1970, 20, 78.501103 
1971, 18, 63.479187 
1972, 9, 130.012341 
1973, 25, 166.351444 
1974, 10, 64.439601 
1975, 26, 109.193077 
1976, 21, 71.702442 
1977, 14, 152.433029 
1978, 22, 176.428373 
1979, 15, 146.686904 
1980, 15, 124.790847 
1981, 22, 70.252806 
1982, 14, 107.349795 
1983, 33, 163.204872 
1984, 21, 128.290694 
1985, 21, 130.872347 
1986, 19, 101.992083 
1987, 24, 137.766078 
1988, 21, 109.207141 
1989, 22, 76.988583 
1990, 20, 99.575393 
1991, 14, 180.798986 
1992, 12, 198.641418 
1993, 17, 132.066784 
1994, 14, 117.649490 
1995, 21, 102.810414 
1996, 25, 175.572739 
1997, 26, 171.782979 
1998, 16, 200.065402 
1999, 23, 88.776514 
2000, 16, 80.917703 
2001, 13, 117.052958 
2002, 23, 117.069432 
2003, 18, 118.512138 
2004, 20, 81.237058 
2005, 16, 147.660828 
2006, 14, 72.297518 
2007, 19, 170.533636 
2008, 22, 126.556182 
2009, 18, 137.874932 
2010, 24, 190.572379 
2011, 26, 93.928023 
2012, 16, 234.160911 
2013, 17, 142.290737 
2014, 18, 121.513848 
2015, 14, 114.449531 
2016, 21, 115.727468 
2017, 20, 114.316410 
2018, 14, 252.216348 
2019, 17, 173.771776 
2020, 25, 124.909459 
2021, 16, 205.421286 
2022, 18, 163.659531 
