currentYear, averageSurge, standardDevSurge, surgeThreshold 
1947, -0.012846, 0.177591, 0.342337
1948, 0.003257, 0.129297, 0.261852
1949, 0.000758, 0.124083, 0.248924
1950, -0.000349, 0.143582, 0.286815
1951, 0.000325, 0.135545, 0.271416
1952, 0.001920, 0.135480, 0.272881
1953, 0.004229, 0.139480, 0.283188
1954, -0.003227, 0.134539, 0.265851
1955, -0.000039, 0.140389, 0.280739
1956, 0.000404, 0.138405, 0.277214
1957, 0.000564, 0.124881, 0.250325
1958, -0.000350, 0.164377, 0.328404
1959, 0.003861, 0.173827, 0.351514
1960, -0.000177, 0.135590, 0.271003
1961, 0.006267, 0.145258, 0.296783
1962, -0.002763, 0.148338, 0.293913
1963, 0.003787, 0.144995, 0.293777
1964, -0.002657, 0.132750, 0.262844
1965, -0.003100, 0.118086, 0.233072
1966, 0.000212, 0.136190, 0.272593
1967, 0.009842, 0.136577, 0.282996
1968, 0.000002, 0.147826, 0.295655
1969, 0.008919, 0.135153, 0.279226
1970, -0.002738, 0.118984, 0.235230
1971, -0.001497, 0.123190, 0.244883
1972, 0.117325, 0.220081, 0.557486
1973, 0.004592, 0.138704, 0.281999
1974, 0.011013, 0.136713, 0.284439
1975, 0.000528, 0.121214, 0.242957
1976, 0.001796, 0.145872, 0.293540
1977, -0.033774, 0.163512, 0.293249
1978, -0.000240, 0.144577, 0.288915
1979, -0.002764, 0.136083, 0.269401
1980, 0.000317, 0.148593, 0.297502
1981, 0.002301, 0.134485, 0.271271
1982, 0.006681, 0.152945, 0.312571
1983, -0.000125, 0.140858, 0.281591
1984, 0.000044, 0.129959, 0.259962
1985, 0.003943, 0.131373, 0.266690
1986, 0.005454, 0.131768, 0.268990
1987, 0.000826, 0.129371, 0.259567
1988, 0.000342, 0.132192, 0.264726
1989, 0.000012, 0.115569, 0.231150
1990, 0.000755, 0.127829, 0.256414
1991, 0.006967, 0.149680, 0.306328
1992, 0.000119, 0.141221, 0.282560
1993, 0.005823, 0.151294, 0.308410
1994, 0.006545, 0.132823, 0.272191
1995, 0.002680, 0.124614, 0.251908
1996, 0.000389, 0.146831, 0.294052
1997, 0.000104, 0.136587, 0.273278
1998, -0.000846, 0.145373, 0.289900
1999, 0.001772, 0.122165, 0.246102
2000, 0.010865, 0.126270, 0.263405
2001, 0.001051, 0.116174, 0.233399
2002, -0.000165, 0.131661, 0.263156
2003, 0.012215, 0.133415, 0.279044
2004, -0.021634, 0.124499, 0.227364
2005, 0.016493, 0.138218, 0.292930
2006, -0.006986, 0.120761, 0.234536
2007, 0.000588, 0.143221, 0.287031
2008, 0.000466, 0.140075, 0.280616
2009, 0.000329, 0.136783, 0.273894
2010, 0.004095, 0.141157, 0.286409
2011, 0.000758, 0.115909, 0.232577
2012, 0.000510, 0.144480, 0.289469
2013, 0.000601, 0.133322, 0.267245
2014, 0.003408, 0.122436, 0.248279
2015, 0.000356, 0.131271, 0.262897
2016, 0.000342, 0.129399, 0.259139
2017, 0.001378, 0.141608, 0.284594
2018, 0.000783, 0.158261, 0.317305
2019, -0.001682, 0.145090, 0.288498
2020, 0.000428, 0.130315, 0.261057
2021, 0.000026, 0.138577, 0.277181
2022, 0.001137, 0.135229, 0.271595
