Year, Average MHW(m) 
1938, 1.5733636363636363 
1939, 1.57425 
1940, 1.5865 
1941, 1.5715000000000001 
1942, 1.5933333333333335 
1943, 1.5703333333333334 
1944, 1.5776666666666666 
1945, 1.5817500000000004 
1946, 1.5658333333333332 
1947, 1.5671666666666664 
1948, 1.5804166666666666 
1949, 1.54725 
1950, 1.522333333333333 
1951, 1.5871666666666666 
1952, 1.5815833333333333 
1953, 1.5965 
1954, 1.5925000000000002 
1955, 1.6316666666666668 
1956, 1.6183333333333334 
1957, 1.5958333333333332 
1958, 1.6615000000000002 
1959, 1.6035000000000001 
1960, 1.6624545454545454 
1961, 1.628090909090909 
1962, 1.6306666666666667 
1963, 1.5991666666666668 
1964, 1.5810000000000002 
1965, 1.57875 
1966, 1.5854545454545457 
1967, 1.5925 
1968, 1.5714166666666667 
1969, 1.623916666666667 
1970, 1.6287500000000001 
1971, 1.6396666666666668 
1972, 1.6579999999999997 
1973, 1.6605833333333333 
1974, 1.6400833333333338 
1975, 1.6533333333333333 
1976, 1.6197500000000005 
1977, 1.6258333333333335 
1978, 1.6789166666666668 
1979, 1.6488333333333334 
1980, 1.6316666666666666 
1981, 1.6405 
1982, 1.6362499999999998 
1983, 1.6965000000000001 
1984, 1.6698333333333337 
1985, 1.645666666666667 
1986, 1.63425 
1987, 1.6535000000000002 
1988, 1.6113333333333333 
1989, 1.5994166666666667 
1990, 1.6125833333333333 
1991, 1.6653333333333336 
1992, 1.6712500000000003 
1993, 1.6816666666666666 
1994, 1.6499999999999997 
1995, 1.6918333333333333 
1996, 1.739166666666667 
1997, 1.7440833333333334 
1998, 1.761666666666667 
1999, 1.7210833333333329 
2000, 1.6931666666666665 
2001, 1.6973333333333336 
2002, 1.6784999999999999 
2003, 1.6791666666666665 
2004, 1.6736666666666666 
2005, 1.7285000000000001 
2006, 1.7131666666666667 
2007, 1.6665833333333335 
2008, 1.6960000000000004 
2009, 1.7347500000000002 
2010, 1.7995 
2011, 1.7825833333333332 
2012, 1.77825 
2013, 1.75725 
2014, 1.7654166666666662 
2015, 1.7308333333333332 
2016, 1.7837500000000002 
2017, 1.79575 
2018, 1.7865833333333334 
2019, 1.812833333333333 
2020, 1.787916666666667 
2021, 1.78 
2022, 1.7705833333333334 
