Year, Average MSL(m) 
1938, 0.9740833333333332 
1939, 0.9730833333333334 
1940, 0.9816666666666668 
1941, 0.9720000000000001 
1942, 0.9973333333333332 
1943, 0.9725833333333335 
1944, 0.9864166666666666 
1945, 1.0072500000000002 
1946, 1.0009166666666667 
1947, 1.0006666666666668 
1948, 1.0207499999999998 
1949, 0.9907499999999999 
1950, 0.9685 
1951, 1.0220833333333335 
1952, 1.0199999999999998 
1953, 1.0325833333333332 
1954, 1.02075 
1955, 1.047 
1956, 1.0306666666666666 
1957, 1.0064166666666665 
1958, 1.0625833333333332 
1959, 1.0024166666666667 
1960, 1.0613636363636365 
1961, 1.0434545454545452 
1962, 1.0388333333333333 
1963, 1.0098333333333331 
1964, 1.0026666666666666 
1965, 1.0145 
1966, 1.0185454545454544 
1967, 1.0322 
1968, 1.0223333333333333 
1969, 1.0698333333333334 
1970, 1.0744166666666666 
1971, 1.07625 
1972, 1.1012499999999998 
1973, 1.0853333333333335 
1974, 1.0538333333333334 
1975, 1.0643333333333334 
1976, 1.0263333333333333 
1977, 1.0304166666666668 
1978, 1.07675 
1979, 1.0494166666666664 
1980, 1.0407500000000003 
1981, 1.0500833333333335 
1982, 1.0556666666666665 
1983, 1.1269166666666668 
1984, 1.1081666666666667 
1985, 1.091 
1986, 1.08525 
1987, 1.1068333333333333 
1988, 1.0648333333333333 
1989, 1.0511666666666666 
1990, 1.0591666666666668 
1991, 1.1004166666666668 
1992, 1.1032499999999998 
1993, 1.1120833333333333 
1994, 1.0676666666666665 
1995, 1.1004166666666668 
1996, 1.1500833333333331 
1997, 1.15175 
1998, 1.1710833333333335 
1999, 1.1291666666666667 
2000, 1.1124166666666666 
2001, 1.1254166666666665 
2002, 1.11 
2003, 1.1189166666666666 
2004, 1.12375 
2005, 1.18025 
2006, 1.1655833333333334 
2007, 1.1194166666666667 
2008, 1.1465833333333333 
2009, 1.1774166666666666 
2010, 1.2345833333333334 
2011, 1.2066666666666668 
2012, 1.1981666666666666 
2013, 1.1755833333333332 
2014, 1.1749166666666666 
2015, 1.1425833333333333 
2016, 1.1931666666666665 
2017, 1.2079166666666665 
2018, 1.2035 
2019, 1.2396666666666665 
2020, 1.2214166666666666 
2021, 1.2221666666666666 
2022, 1.2154166666666666 
