Year, # of Verified points, # of Predicted points, # of Missing points
1938, 8760, 8760, 1764
1939, 8760, 8760, 498
1940, 8784, 8784, 0
1941, 8760, 8760, 176
1942, 8760, 8760, 0
1943, 8760, 8760, 2228
1944, 8784, 8784, 0
1945, 8760, 8760, 0
1946, 8760, 8760, 1607
1947, 8760, 8760, 447
1948, 8784, 8784, 0
1949, 8760, 8760, 0
1950, 8760, 8760, 0
1951, 8760, 8760, 0
1952, 8784, 8784, 0
1953, 8760, 8760, 0
1954, 5837, 8760, 0
1955, 8759, 8760, 3954
1956, 8784, 8784, 0
1957, 8760, 8760, 313
1958, 8760, 8760, 0
1959, 8760, 8760, 0
1960, 8784, 8784, 0
1961, 8760, 8760, 0
1962, 8760, 8760, 0
1963, 8760, 8760, 0
1964, 8784, 8784, 0
1965, 8760, 8760, 712
1966, 8760, 8760, 1056
1967, 8760, 8760, 1050
1968, 8784, 8784, 0
1969, 8760, 8760, 259
1970, 8760, 8760, 344
1971, 8760, 8760, 2869
1972, 8784, 8784, 395
1973, 8760, 8760, 2841
1974, 8760, 8760, 1544
1975, 8760, 8760, 0
1976, 8784, 8784, 0
1977, 8760, 8760, 171
1978, 8760, 8760, 401
1979, 8760, 8760, 134
1980, 8784, 8784, 0
1981, 8760, 8760, 131
1982, 8760, 8760, 0
1983, 8760, 8760, 0
1984, 8784, 8784, 0
1985, 8760, 8760, 0
1986, 8760, 8760, 0
1987, 8760, 8760, 0
1988, 8784, 8784, 0
1989, 8760, 8760, 0
1990, 8760, 8760, 0
1991, 8760, 8760, 162
1992, 8784, 8784, 0
1993, 8760, 8760, 0
1994, 8760, 8760, 0
1995, 8760, 8760, 0
1996, 8784, 8784, 0
1997, 8760, 8760, 272
1998, 8760, 8760, 0
1999, 8760, 8760, 0
2000, 8784, 8784, 0
2001, 8760, 8760, 0
2002, 8760, 8760, 1
2003, 8760, 8760, 158
2004, 8784, 8784, 0
2005, 8760, 8760, 0
2006, 8760, 8760, 0
2007, 8760, 8760, 0
2008, 8784, 8784, 0
2009, 8760, 8760, 0
2010, 8760, 8760, 0
2011, 8760, 8760, 0
2012, 8784, 8784, 0
2013, 8760, 8760, 0
2014, 8760, 8760, 0
2015, 8760, 8760, 0
2016, 8784, 8784, 0
2017, 8760, 8760, 0
2018, 8760, 8760, 0
2019, 8760, 8760, 0
2020, 8784, 8784, 0
2021, 8760, 8760, 0
2022, 8760, 8760, 0
