Year, Number of Storms, Total SEPI 
1938, 23, 31.545511 
1939, 23, 25.991993 
1940, 20, 45.100882 
1941, 17, 38.685479 
1942, 17, 61.102300 
1943, 11, 21.176453 
1944, 15, 73.280891 
1945, 14, 43.216898 
1946, 23, 23.090914 
1947, 22, 68.227277 
1948, 17, 39.875225 
1949, 22, 26.523136 
1950, 23, 66.277471 
1951, 17, 38.773974 
1952, 19, 40.568428 
1953, 22, 44.850326 
1954, 11, 55.318573 
1955, 8, 30.995034 
1956, 18, 45.211693 
1957, 20, 30.333269 
1958, 20, 84.845895 
1959, 21, 44.337033 
1960, 15, 57.881894 
1961, 27, 64.189171 
1962, 18, 67.891248 
1963, 18, 54.110703 
1964, 20, 35.300736 
1965, 27, 31.596684 
1966, 18, 57.478957 
1967, 19, 30.537649 
1968, 18, 51.107073 
1969, 24, 45.894943 
1970, 21, 49.639910 
1971, 14, 32.827915 
1972, 17, 80.841915 
1973, 16, 32.259534 
1974, 20, 38.328252 
1975, 24, 40.920670 
1976, 14, 25.692735 
1977, 21, 68.131654 
1978, 47, 89.320040 
1979, 14, 67.040727 
1980, 15, 39.911109 
1981, 23, 29.364102 
1982, 21, 50.952103 
1983, 26, 58.574913 
1984, 19, 43.199531 
1985, 23, 47.249777 
1986, 18, 31.650845 
1987, 20, 50.373657 
1988, 24, 34.314532 
1989, 18, 24.630242 
1990, 22, 35.639711 
1991, 19, 83.097007 
1992, 16, 70.695083 
1993, 16, 43.098097 
1994, 18, 44.970842 
1995, 19, 46.285589 
1996, 22, 53.341937 
1997, 27, 53.021840 
1998, 22, 52.825483 
1999, 22, 38.973527 
2000, 27, 35.198629 
2001, 15, 41.641558 
2002, 18, 34.200106 
2003, 17, 34.919075 
2004, 22, 49.518271 
2005, 27, 51.749715 
2006, 16, 51.619139 
2007, 19, 61.073314 
2008, 29, 41.467530 
2009, 22, 42.048219 
2010, 26, 65.234971 
2011, 22, 38.936117 
2012, 14, 88.161287 
2013, 12, 51.378920 
2014, 20, 42.516091 
2015, 15, 28.996268 
2016, 19, 47.111411 
2017, 17, 40.694492 
2018, 17, 78.968468 
2019, 17, 56.458380 
2020, 19, 46.718565 
2021, 13, 76.820634 
2022, 19, 55.807594 
