currentYear, averageSurge, standardDevSurge, surgeThreshold 
1938, -0.000446, 0.114728, 0.229011
1939, -0.006655, 0.125456, 0.244256
1940, -0.000070, 0.124595, 0.249120
1941, -0.000273, 0.123462, 0.246651
1942, 0.000557, 0.135007, 0.270571
1943, 0.014545, 0.120389, 0.255324
1944, -0.000296, 0.141021, 0.281746
1945, 0.001030, 0.132095, 0.265220
1946, -0.003897, 0.109512, 0.215126
1947, 0.003150, 0.131818, 0.266787
1948, -0.000366, 0.117730, 0.235093
1949, 0.000534, 0.121114, 0.242762
1950, 0.000342, 0.135345, 0.271031
1951, 0.000076, 0.128237, 0.256550
1952, 0.000169, 0.116669, 0.233506
1953, 0.000892, 0.129778, 0.260448
1954, 0.010094, 0.134514, 0.279122
1955, -0.029481, 0.120028, 0.210575
1956, 0.000674, 0.123268, 0.247210
1957, 0.000244, 0.115944, 0.232131
1958, 0.001324, 0.144510, 0.290344
1959, 0.001148, 0.133892, 0.268931
1960, -0.005761, 0.129415, 0.253069
1961, 0.003742, 0.130449, 0.264640
1962, 0.001301, 0.135570, 0.272441
1963, 0.001000, 0.134857, 0.270713
1964, -0.006107, 0.120792, 0.235478
1965, 0.023128, 0.127973, 0.279073
1966, 0.008183, 0.137876, 0.283935
1967, -0.001208, 0.119829, 0.238451
1968, 0.000352, 0.151587, 0.303526
1969, -0.000447, 0.126693, 0.252940
1970, 0.001941, 0.121125, 0.244192
1971, 0.002499, 0.121866, 0.246231
1972, -0.002109, 0.151404, 0.300699
1973, -0.003788, 0.124678, 0.245568
1974, 0.009306, 0.148279, 0.305864
1975, 0.000213, 0.117258, 0.234728
1976, 0.006357, 0.144991, 0.296339
1977, 0.000900, 0.148433, 0.297766
1978, -0.010097, 0.193290, 0.376483
1979, 0.003350, 0.128452, 0.260253
1980, -0.001394, 0.138951, 0.276508
1981, 0.003604, 0.128963, 0.261530
1982, 0.000135, 0.133073, 0.266281
1983, -0.000032, 0.128826, 0.257621
1984, -0.000432, 0.116897, 0.233362
1985, 0.000775, 0.124158, 0.249091
1986, 0.000044, 0.126159, 0.252362
1987, 0.000403, 0.120522, 0.241447
1988, 0.000036, 0.123963, 0.247961
1989, 0.000396, 0.109162, 0.218719
1990, 0.000477, 0.118831, 0.238140
1991, 0.000696, 0.131918, 0.264532
1992, 0.000221, 0.130033, 0.260286
1993, 0.000669, 0.139902, 0.280473
1994, 0.000398, 0.127531, 0.255460
1995, 0.000388, 0.119266, 0.238920
1996, 0.000479, 0.137190, 0.274858
1997, -0.004622, 0.124618, 0.244613
1998, -0.001178, 0.130394, 0.259610
1999, -0.000654, 0.116991, 0.233327
2000, 0.000717, 0.128802, 0.258321
2001, 0.001395, 0.106347, 0.214089
2002, -0.000668, 0.122602, 0.244537
2003, 0.001179, 0.125753, 0.252686
2004, 0.000679, 0.115620, 0.231920
2005, 0.000677, 0.121554, 0.243785
2006, 0.000107, 0.118919, 0.237946
2007, 0.000667, 0.131504, 0.263676
2008, 0.000559, 0.129544, 0.259647
2009, 0.000188, 0.124750, 0.249687
2010, -0.000606, 0.124801, 0.248996
2011, 0.000343, 0.109893, 0.220130
2012, 0.000735, 0.128813, 0.258361
2013, 0.000668, 0.125188, 0.251044
2014, 0.000525, 0.114923, 0.230371
2015, 0.000359, 0.130184, 0.260727
2016, 0.000389, 0.121004, 0.242396
2017, 0.000219, 0.130780, 0.261779
2018, 0.000623, 0.141070, 0.282762
2019, 0.001164, 0.135806, 0.272776
2020, 0.000702, 0.122573, 0.245848
2021, 0.000101, 0.129546, 0.259192
2022, 0.000806, 0.123244, 0.247294
