Year, Average MHW(m) 
1912, 5.3090833333333345 
1913, 5.2956666666666665 
1914, 5.31825 
1915, 5.3335 
1916, 5.341666666666668 
1917, 5.342666666666667 
1918, 5.349 
1919, 5.3814166666666665 
1920, 5.403833333333332 
1921, 5.389833333333333 
1922, 5.3555833333333345 
1923, 5.36825 
1924, 5.375 
1925, 5.332583333333333 
1926, 5.321250000000001 
1927, 5.353416666666667 
1928, 5.308083333333333 
1929, 5.288 
1930, 5.261416666666668 
1931, 5.315833333333334 
1932, 5.325666666666668 
1933, 5.354499999999999 
1934, 5.306333333333335 
1935, 5.35175 
1936, 5.361916666666667 
1937, 5.369666666666667 
1938, 5.39275 
1939, 5.383833333333333 
1940, 5.429750000000001 
1941, 5.401083333333333 
1942, 5.413250000000001 
1943, 5.403083333333334 
1944, 5.4085 
1945, 5.415333333333334 
1946, 5.422 
1947, 5.444583333333334 
1948, 5.419499999999999 
1949, 5.356583333333332 
1950, 5.365583333333333 
1951, 5.427833333333332 
1952, 5.43375 
1953, 5.432416666666666 
1954, 5.457916666666666 
1955, 5.46775 
1956, 5.457583333333333 
1957, 5.425916666666667 
1958, 5.521666666666667 
1959, 5.450333333333333 
1960, 5.495999999999999 
1961, 5.4999166666666675 
1962, 5.463333333333334 
1963, 5.431333333333335 
1964, 5.418083333333333 
1965, 5.394916666666667 
1966, 5.419250000000001 
1967, 5.407 
1968, 5.434083333333334 
1969, 5.4895000000000005 
1970, 5.5040000000000004 
1971, 5.491666666666666 
1972, 5.49275 
1973, 5.4374166666666675 
1974, 5.445916666666666 
1975, 5.500666666666667 
1976, 5.553583333333333 
1977, 5.580583333333333 
1978, 5.5645 
1979, 5.5402499999999995 
1980, 5.522750000000001 
1981, 5.521166666666666 
1982, 5.4647499999999996 
1983, 5.52975 
1984, 5.4775 
1985, 5.439 
1986, 5.438583333333333 
1987, 5.463666666666668 
1988, 5.423416666666667 
1989, 5.412666666666667 
1990, 5.427583333333334 
1991, 5.486000000000001 
1992, 5.497500000000001 
1993, 5.530666666666666 
1994, 5.492083333333333 
1995, 5.536083333333333 
1996, 5.573916666666666 
1997, 5.554166666666667 
1998, 5.570166666666666 
1999, 5.517500000000001 
2000, 5.510666666666666 
2001, 5.491166666666667 
2002, 5.4647499999999996 
2003, 5.482916666666665 
2004, 5.480333333333334 
2005, 5.5425 
2006, 5.511749999999999 
2007, 5.469333333333334 
2008, 5.487833333333334 
2009, 5.543500000000001 
2010, 5.647333333333333 
2011, 5.601 
2012, 5.586333333333333 
2013, 5.606416666666667 
2014, 5.614583333333333 
2015, 5.546666666666667 
2016, 5.584416666666667 
2017, 5.612666666666667 
2018, 5.62 
2019, 5.596749999999999 
2020, 5.575833333333333 
2021, 5.5637500000000015 
2022, 5.54225 
