Year, Average MSL(m) 
1912, 3.9868333333333337 
1913, 3.9715000000000003 
1914, 3.991083333333334 
1915, 4.012916666666668 
1916, 4.00275 
1917, 4.002500000000001 
1918, 4.0062500000000005 
1919, 4.033 
1920, 4.020833333333333 
1921, 4.005083333333333 
1922, 3.9682500000000007 
1923, 3.983916666666667 
1924, 3.987833333333333 
1925, 3.9619166666666668 
1926, 3.9563333333333337 
1927, 3.9921666666666673 
1928, 3.9677500000000006 
1929, 3.9608333333333334 
1930, 3.9548333333333345 
1931, 3.989333333333334 
1932, 3.9995 
1933, 4.019500000000001 
1934, 3.9730833333333337 
1935, 4.0086666666666675 
1936, 4.0021666666666675 
1937, 4.007416666666668 
1938, 4.019333333333334 
1939, 3.9934166666666666 
1940, 4.02975 
1941, 4.017833333333334 
1942, 4.02875 
1943, 4.0105 
1944, 4.026083333333333 
1945, 4.04825 
1946, 4.067333333333333 
1947, 4.088666666666668 
1948, 4.081 
1949, 4.037166666666667 
1950, 4.036416666666668 
1951, 4.081083333333334 
1952, 4.082833333333334 
1953, 4.076416666666667 
1954, 4.093416666666667 
1955, 4.085250000000001 
1956, 4.082166666666667 
1957, 4.049166666666667 
1958, 4.110583333333334 
1959, 4.053083333333334 
1960, 4.096583333333334 
1961, 4.097 
1962, 4.06625 
1963, 4.03825 
1964, 4.0360000000000005 
1965, 4.0449166666666665 
1966, 4.060250000000001 
1967, 4.055583333333334 
1968, 4.089916666666666 
1969, 4.137833333333334 
1970, 4.154833333333333 
1971, 4.143916666666667 
1972, 4.129833333333334 
1973, 4.0765 
1974, 4.060916666666667 
1975, 4.106666666666667 
1976, 4.138833333333333 
1977, 4.163916666666668 
1978, 4.14625 
1979, 4.1137500000000005 
1980, 4.102500000000001 
1981, 4.123083333333334 
1982, 4.079666666666667 
1983, 4.150833333333334 
1984, 4.1184166666666675 
1985, 4.094833333333334 
1986, 4.095000000000001 
1987, 4.119666666666666 
1988, 4.09075 
1989, 4.069500000000001 
1990, 4.080833333333334 
1991, 4.12425 
1992, 4.1115 
1993, 4.1120833333333335 
1994, 4.077916666666666 
1995, 4.122833333333333 
1996, 4.154916666666667 
1997, 4.141666666666667 
1998, 4.1570833333333335 
1999, 4.104500000000001 
2000, 4.106916666666666 
2001, 4.1042499999999995 
2002, 4.092583333333335 
2003, 4.113416666666667 
2004, 4.12725 
2005, 4.183 
2006, 4.157666666666667 
2007, 4.102833333333334 
2008, 4.122916666666667 
2009, 4.177083333333333 
2010, 4.251 
2011, 4.204249999999999 
2012, 4.1985 
2013, 4.179666666666667 
2014, 4.172083333333333 
2015, 4.1154166666666665 
2016, 4.1554166666666665 
2017, 4.187083333333334 
2018, 4.186583333333333 
2019, 4.199166666666668 
2020, 4.1945 
2021, 4.19675 
2022, 4.187333333333333 
