Year, Number of Storms, Total SEPI 
1912, 7, 37.805839 
1913, 10, 39.337772 
1914, 8, 74.862264 
1915, 9, 35.889763 
1916, 14, 52.169426 
1917, 10, 23.794637 
1918, 11, 53.243163 
1919, 7, 64.861292 
1920, 12, 49.482164 
1921, 2, 4.455487 
1922, 6, 24.625733 
1923, 11, 32.402864 
1924, 15, 52.847400 
1925, 9, 45.459353 
1926, 11, 50.023189 
1927, 14, 57.249578 
1928, 13, 27.953242 
1929, 13, 66.980270 
1930, 9, 42.558666 
1931, 8, 110.829559 
1932, 18, 73.472013 
1933, 13, 88.587121 
1934, 8, 49.143430 
1935, 11, 20.004398 
1936, 11, 53.392541 
1937, 11, 49.419080 
1938, 15, 33.734479 
1939, 5, 27.363893 
1940, 11, 57.359792 
1941, 10, 30.731175 
1942, 12, 77.730292 
1943, 6, 15.515931 
1944, 8, 73.792540 
1945, 13, 81.194214 
1946, 8, 17.869173 
1947, 28, 132.047347 
1948, 12, 72.065678 
1949, 6, 24.509424 
1950, 18, 73.731013 
1951, 18, 55.986719 
1952, 10, 43.220682 
1953, 20, 95.493984 
1954, 22, 63.327675 
1955, 13, 61.560003 
1956, 4, 22.279090 
1957, 13, 36.665031 
1958, 15, 102.651416 
1959, 8, 49.631583 
1960, 12, 70.381463 
1961, 10, 29.853191 
1962, 6, 48.104013 
1963, 19, 93.746762 
1964, 13, 47.920628 
1965, 13, 39.440575 
1966, 15, 101.778499 
1967, 14, 80.293084 
1968, 13, 60.784128 
1969, 15, 103.079422 
1970, 16, 80.941652 
1971, 10, 47.663767 
1972, 13, 86.742151 
1973, 13, 72.760387 
1974, 9, 48.225146 
1975, 13, 50.956462 
1976, 13, 46.909609 
1977, 15, 85.555507 
1978, 14, 84.334774 
1979, 14, 154.799416 
1980, 12, 39.531138 
1981, 14, 58.259992 
1982, 15, 63.871535 
1983, 23, 90.735098 
1984, 15, 88.944268 
1985, 18, 62.587843 
1986, 11, 50.495491 
1987, 12, 82.967030 
1988, 16, 65.009680 
1989, 16, 35.821803 
1990, 11, 55.871613 
1991, 13, 144.979562 
1992, 15, 101.360903 
1993, 17, 82.893526 
1994, 13, 57.507611 
1995, 13, 69.723359 
1996, 17, 89.109683 
1997, 17, 81.944167 
1998, 12, 60.147310 
1999, 13, 51.680525 
2000, 17, 56.502562 
2001, 11, 83.054834 
2002, 16, 64.245705 
2003, 17, 83.236136 
2004, 16, 74.797271 
2005, 20, 167.621017 
2006, 18, 107.343011 
2007, 14, 134.818266 
2008, 22, 91.674158 
2009, 17, 79.979992 
2010, 21, 116.119300 
2011, 23, 68.336825 
2012, 13, 168.067988 
2013, 12, 108.495500 
2014, 21, 70.158029 
2015, 13, 55.828362 
2016, 17, 71.532510 
2017, 20, 87.565450 
2018, 13, 195.215815 
2019, 18, 72.708807 
2020, 18, 63.061748 
2021, 15, 92.661512 
2022, 16, 83.935383 
