currentYear, averageSurge, standardDevSurge, surgeThreshold 
1912, 0.002309, 0.166435, 0.335178
1913, 0.002582, 0.137528, 0.277637
1914, -0.001544, 0.153411, 0.305278
1915, -0.002099, 0.148134, 0.294169
1916, 0.000165, 0.137055, 0.274276
1917, 0.001976, 0.144900, 0.291777
1918, -0.000887, 0.132500, 0.264113
1919, 0.003125, 0.140915, 0.284955
1920, -0.002287, 0.141228, 0.280169
1921, 0.001621, 0.167058, 0.335737
1922, 0.000983, 0.142132, 0.285248
1923, -0.000906, 0.152064, 0.303222
1924, 0.001813, 0.142073, 0.285959
1925, 0.000459, 0.135512, 0.271483
1926, -0.000396, 0.139267, 0.278137
1927, 0.000247, 0.134878, 0.270003
1928, 0.000984, 0.142298, 0.285581
1929, -0.000530, 0.140231, 0.279931
1930, -0.000498, 0.135028, 0.269558
1931, 0.000992, 0.127161, 0.255313
1932, -0.000128, 0.133844, 0.267561
1933, -0.000009, 0.150731, 0.301452
1934, 0.004717, 0.129489, 0.263696
1935, 0.003444, 0.117693, 0.238831
1936, -0.001218, 0.133653, 0.266089
1937, -0.001242, 0.124448, 0.247655
1938, -0.002840, 0.117266, 0.231692
1939, 0.000958, 0.127511, 0.255980
1940, -0.000164, 0.134119, 0.268075
1941, 0.002537, 0.121118, 0.244772
1942, 0.002622, 0.133830, 0.270281
1943, 0.003758, 0.130008, 0.263774
1944, -0.000245, 0.135440, 0.270636
1945, 0.000190, 0.132303, 0.264795
1946, -0.001168, 0.106038, 0.210909
1947, 0.000454, 0.145937, 0.292328
1948, -0.000098, 0.127441, 0.254785
1949, -0.001273, 0.140183, 0.279093
1950, 0.000496, 0.151396, 0.303287
1951, 0.001073, 0.157583, 0.316238
1952, -0.000072, 0.145453, 0.290835
1953, 0.001342, 0.145427, 0.292196
1954, 0.000661, 0.149218, 0.299097
1955, 0.000503, 0.142634, 0.285770
1956, 0.005468, 0.159276, 0.324021
1957, -0.003423, 0.134366, 0.265310
1958, 0.000389, 0.152142, 0.304672
1959, 0.007187, 0.147109, 0.301405
1960, -0.000634, 0.138830, 0.277026
1961, -0.002175, 0.144343, 0.286511
1962, 0.002243, 0.164147, 0.330537
1963, 0.001365, 0.142986, 0.287337
1964, -0.000383, 0.133076, 0.265768
1965, -0.000254, 0.129391, 0.258529
1966, 0.000912, 0.125895, 0.252702
1967, -0.000184, 0.124376, 0.248567
1968, -0.000026, 0.137033, 0.274040
1969, -0.000237, 0.130665, 0.261093
1970, -0.000191, 0.126504, 0.252817
1971, 0.008139, 0.146922, 0.301983
1972, -0.022462, 0.169195, 0.315928
1973, 0.003341, 0.169685, 0.342711
1974, -0.000071, 0.173037, 0.346003
1975, -0.000263, 0.129617, 0.258972
1976, -0.004932, 0.134833, 0.264735
1977, 0.000616, 0.160866, 0.322349
1978, -0.000249, 0.133269, 0.266290
1979, -0.002134, 0.130530, 0.258926
1980, 0.000131, 0.126303, 0.252738
1981, 0.000781, 0.135915, 0.272612
1982, 0.000764, 0.134432, 0.269628
1983, -0.000139, 0.138682, 0.277224
1984, -0.000413, 0.127897, 0.255381
1985, 0.000755, 0.123793, 0.248342
1986, -0.000482, 0.126596, 0.252710
1987, 0.000994, 0.124850, 0.250695
1988, -0.000088, 0.123919, 0.247750
1989, 0.000097, 0.113716, 0.227529
1990, -0.005420, 0.125380, 0.245340
1991, 0.000289, 0.132445, 0.265178
1992, 0.000492, 0.124452, 0.249395
1993, 0.000530, 0.138529, 0.277588
1994, -0.000002, 0.121207, 0.242411
1995, 0.000477, 0.123704, 0.247884
1996, -0.000525, 0.135239, 0.269953
1997, 0.000452, 0.122800, 0.246052
1998, -0.000223, 0.132013, 0.263803
1999, -0.000667, 0.113138, 0.225610
2000, 0.000080, 0.124664, 0.249408
2001, 0.001141, 0.114797, 0.230735
2002, -0.000026, 0.124997, 0.249969
2003, 0.000342, 0.142372, 0.285086
2004, 0.000092, 0.121599, 0.243290
2005, 0.000735, 0.128588, 0.257912
2006, 0.000311, 0.119471, 0.239253
2007, -0.000502, 0.136453, 0.272404
2008, 0.000290, 0.129358, 0.259006
2009, 0.000463, 0.123327, 0.247118
2010, -0.000378, 0.132294, 0.264209
2011, -0.000285, 0.114040, 0.227795
2012, 0.000285, 0.130511, 0.261308
2013, 0.000715, 0.123742, 0.248200
2014, 0.000325, 0.115979, 0.232282
2015, -0.000280, 0.123749, 0.247217
2016, 0.000338, 0.114803, 0.229945
2017, 0.000059, 0.125466, 0.250991
2018, 0.000704, 0.145762, 0.292228
2019, 0.000659, 0.135946, 0.272552
2020, 0.000471, 0.125656, 0.251782
2021, 0.000667, 0.128634, 0.257935
2022, 0.000562, 0.127799, 0.256161
