Year, Average MHW(m) 
1932, 1.9995 
1933, 1.9950000000000003 
1934, 1.9521666666666668 
1935, 2.0025833333333334 
1936, 2.00675 
1937, 2.051833333333333 
1938, 2.0660000000000003 
1939, 2.0673333333333335 
1940, 2.076916666666667 
1941, 2.039833333333334 
1942, 2.073916666666666 
1943, 2.038916666666667 
1944, 2.056083333333333 
1945, 2.079 
1946, 2.068583333333333 
1947, 2.0530000000000004 
1948, 2.095666666666667 
1949, 2.053833333333333 
1950, 2.028 
1951, 2.1019166666666664 
1952, 2.1037500000000002 
1953, 2.1165833333333333 
1954, 2.104166666666667 
1955, 2.133666666666667 
1956, 2.1554999999999995 
1957, 2.122916666666667 
1958, 2.1888333333333336 
1959, 2.1285000000000007 
1960, 2.1920833333333336 
1961, 2.1755 
1962, 2.174833333333334 
1963, 2.1210833333333334 
1964, 2.1207499999999997 
1965, 2.12825 
1966, 2.1391666666666667 
1967, 2.1555000000000004 
1968, 2.12325 
1969, 2.1670833333333337 
1970, 2.163416666666667 
1971, 2.197666666666667 
1972, 2.2289166666666667 
1973, 2.2275833333333335 
1974, 2.1978333333333335 
1975, 2.2243333333333335 
1976, 2.1645833333333333 
1977, 2.180666666666667 
1978, 2.23375 
1979, 2.2180833333333334 
1980, 2.189 
1981, 2.1940000000000004 
1982, 2.1915 
1983, 2.281 
1984, 2.247666666666667 
1985, 2.2024166666666667 
1986, 2.214416666666667 
1987, 2.226666666666667 
1988, 2.1757500000000003 
1989, 2.1903333333333337 
1990, 2.1945833333333336 
1991, 2.225916666666666 
1992, 2.2460833333333334 
1993, 2.2900833333333335 
1994, 2.244416666666667 
1995, 2.275583333333333 
1996, 2.3394166666666667 
1997, 2.319833333333333 
1998, 2.361333333333333 
1999, 2.30575 
2000, 2.281083333333333 
2001, 2.2806666666666664 
2002, 2.2649166666666667 
2003, 2.2818333333333336 
2004, 2.2735 
2005, 2.334333333333334 
2006, 2.3148333333333335 
2007, 2.266 
2008, 2.3110000000000004 
2009, 2.3560000000000003 
2010, 2.4008333333333334 
2011, 2.404083333333333 
2012, 2.368777777777778 
2013, 2.366833333333333 
2014, 2.3876666666666666 
2015, 2.3510000000000004 
2016, 2.3840000000000003 
2017, 2.3986666666666667 
2018, 2.411166666666667 
2019, 2.4274166666666663 
2020, 2.4051666666666667 
2021, 2.4005 
2022, 2.3775 
