Year, Average MSL(m) 
1932, 1.3245 
1933, 1.3227499999999999 
1934, 1.2768333333333335 
1935, 1.3188333333333333 
1936, 1.3083333333333333 
1937, 1.3505 
1938, 1.3555 
1939, 1.351 
1940, 1.3540833333333335 
1941, 1.324 
1942, 1.359 
1943, 1.3239166666666666 
1944, 1.3435833333333331 
1945, 1.3760833333333335 
1946, 1.375 
1947, 1.3674166666666665 
1948, 1.4167500000000002 
1949, 1.3750833333333334 
1950, 1.35375 
1951, 1.42175 
1952, 1.4253333333333333 
1953, 1.4338333333333333 
1954, 1.41125 
1955, 1.4340833333333334 
1956, 1.4442499999999996 
1957, 1.4087500000000002 
1958, 1.4675 
1959, 1.4044166666666669 
1960, 1.4666666666666666 
1961, 1.4658333333333333 
1962, 1.4572500000000002 
1963, 1.4086666666666667 
1964, 1.4197500000000003 
1965, 1.436416666666667 
1966, 1.4498333333333333 
1967, 1.4748333333333334 
1968, 1.4428333333333334 
1969, 1.4914166666666666 
1970, 1.4880833333333332 
1971, 1.5140000000000002 
1972, 1.5371666666666666 
1973, 1.5322500000000001 
1974, 1.4924166666666665 
1975, 1.5046666666666668 
1976, 1.4359166666666667 
1977, 1.4510833333333333 
1978, 1.5065833333333332 
1979, 1.4820833333333334 
1980, 1.4640000000000002 
1981, 1.4719166666666663 
1982, 1.4805833333333336 
1983, 1.5764166666666668 
1984, 1.5511666666666668 
1985, 1.5110000000000001 
1986, 1.5295833333333333 
1987, 1.5493333333333332 
1988, 1.493666666666667 
1989, 1.5038333333333336 
1990, 1.4955 
1991, 1.5245 
1992, 1.5415 
1993, 1.5795833333333331 
1994, 1.5205000000000002 
1995, 1.5455833333333333 
1996, 1.611666666666667 
1997, 1.5909166666666668 
1998, 1.6329166666666668 
1999, 1.57725 
2000, 1.5660833333333333 
2001, 1.5753333333333333 
2002, 1.5595833333333333 
2003, 1.5917499999999996 
2004, 1.5927499999999999 
2005, 1.659 
2006, 1.6324166666666668 
2007, 1.5815833333333333 
2008, 1.6258333333333332 
2009, 1.663333333333333 
2010, 1.7 
2011, 1.6881666666666664 
2012, 1.6524444444444442 
2013, 1.6505833333333335 
2014, 1.6635833333333334 
2015, 1.6250000000000002 
2016, 1.6583333333333332 
2017, 1.6744166666666667 
2018, 1.68975 
2019, 1.7174166666666666 
2020, 1.7053333333333336 
2021, 1.71 
2022, 1.6919166666666667 
