Year, Number of Storms, Total SEPI 
1932, 3, 69.897172 
1933, 8, 94.447599 
1934, 19, 33.025317 
1935, 18, 107.157136 
1936, 12, 57.649600 
1937, 18, 64.229911 
1938, 19, 68.732606 
1939, 10, 38.160773 
1940, 15, 72.411575 
1941, 16, 52.888036 
1942, 11, 58.011060 
1943, 11, 85.662133 
1944, 14, 120.131449 
1945, 12, 138.437511 
1946, 17, 30.273004 
1947, 13, 78.385539 
1948, 19, 66.210646 
1949, 18, 45.009271 
1950, 13, 146.950766 
1951, 16, 87.485260 
1952, 13, 109.489380 
1953, 12, 96.952453 
1954, 15, 48.069365 
1955, 12, 101.210871 
1956, 12, 114.559588 
1957, 15, 60.442110 
1958, 16, 113.142047 
1959, 12, 68.851804 
1960, 8, 64.324561 
1961, 15, 168.867072 
1962, 12, 167.053555 
1963, 12, 47.980259 
1964, 17, 66.690402 
1965, 14, 63.489694 
1966, 16, 81.150686 
1967, 19, 99.407545 
1968, 14, 101.315773 
1969, 13, 73.044520 
1970, 21, 99.189165 
1971, 19, 71.039298 
1972, 16, 135.508647 
1973, 24, 127.142565 
1974, 18, 95.020560 
1975, 13, 53.389533 
1976, 17, 49.605858 
1977, 12, 167.723642 
1978, 18, 92.316184 
1979, 12, 58.369418 
1980, 11, 81.513895 
1981, 6, 30.086098 
1982, 15, 72.006152 
1983, 22, 79.190796 
1984, 12, 124.613004 
1985, 14, 125.567949 
1986, 18, 70.677492 
1987, 17, 77.032470 
1988, 19, 87.003314 
1989, 15, 60.580258 
1990, 21, 66.415081 
1991, 15, 149.734778 
1992, 8, 196.069615 
1993, 15, 126.110347 
1994, 13, 104.293306 
1995, 13, 88.141403 
1996, 19, 91.190937 
1997, 22, 93.530476 
1998, 17, 153.274592 
1999, 21, 59.907662 
2000, 17, 56.342578 
2001, 17, 82.516255 
2002, 17, 82.439751 
2003, 13, 85.950983 
2004, 17, 64.705460 
2005, 16, 144.974671 
2006, 16, 124.642035 
2007, 16, 100.847318 
2008, 21, 83.177420 
2009, 10, 111.327765 
2010, 19, 130.807741 
2011, 16, 58.877108 
2012, 11, 176.411466 
2013, 13, 113.264603 
2014, 17, 80.984642 
2015, 15, 85.589729 
2016, 12, 112.918998 
2017, 14, 85.009165 
2018, 15, 174.004940 
2019, 10, 113.906982 
2020, 14, 61.258102 
2021, 9, 152.579656 
2022, 15, 135.334125 
