currentYear, averageSurge, standardDevSurge, surgeThreshold 
1932, 0.025796, 0.240130, 0.506057
1933, 0.000626, 0.203828, 0.408282
1934, 0.013237, 0.148289, 0.309816
1935, -0.000283, 0.164767, 0.329251
1936, 0.001158, 0.170544, 0.342246
1937, -0.000223, 0.164312, 0.328401
1938, 0.002512, 0.162045, 0.326601
1939, 0.007498, 0.177785, 0.363068
1940, -0.000341, 0.177707, 0.355072
1941, 0.003782, 0.175727, 0.355237
1942, 0.001083, 0.185916, 0.372914
1943, 0.000648, 0.177736, 0.356121
1944, -0.000435, 0.182068, 0.363700
1945, 0.000698, 0.190927, 0.382552
1946, 0.000787, 0.159434, 0.319654
1947, -0.002576, 0.191378, 0.380179
1948, 0.000890, 0.164336, 0.329563
1949, 0.001141, 0.151163, 0.303467
1950, 0.000428, 0.191728, 0.383883
1951, 0.000019, 0.171152, 0.342324
1952, 0.000202, 0.165302, 0.330806
1953, 0.001386, 0.176381, 0.354148
1954, 0.000159, 0.161714, 0.323587
1955, 0.000384, 0.183672, 0.367729
1956, 0.001081, 0.171860, 0.344802
1957, -0.002774, 0.153312, 0.303851
1958, -0.000032, 0.186773, 0.373514
1959, 0.005646, 0.187136, 0.379919
1960, -0.002116, 0.147015, 0.291914
1961, -0.000806, 0.180597, 0.360389
1962, -0.003045, 0.191050, 0.379056
1963, -0.001034, 0.178421, 0.355807
1964, 0.000736, 0.166853, 0.334441
1965, -0.003374, 0.148430, 0.293486
1966, 0.000262, 0.182795, 0.365851
1967, -0.003093, 0.173488, 0.343883
1968, 0.002081, 0.195471, 0.393024
1969, 0.000139, 0.174538, 0.349216
1970, -0.000293, 0.161497, 0.322701
1971, -0.000068, 0.172689, 0.345310
1972, 0.012151, 0.207285, 0.426722
1973, 0.000011, 0.173143, 0.346296
1974, -0.006002, 0.174614, 0.343225
1975, -0.002992, 0.172020, 0.341047
1976, 0.001753, 0.184917, 0.371588
1977, 0.023103, 0.207121, 0.437344
1978, -0.005296, 0.177853, 0.350411
1979, -0.004366, 0.161609, 0.318851
1980, 0.013260, 0.173488, 0.360235
1981, 0.021583, 0.143337, 0.308258
1982, 0.000521, 0.176593, 0.353706
1983, -0.001940, 0.171695, 0.341449
1984, 0.000121, 0.159546, 0.319213
1985, 0.000452, 0.175279, 0.351009
1986, -0.000257, 0.163555, 0.326854
1987, 0.001255, 0.161470, 0.324196
1988, 0.000101, 0.156643, 0.313387
1989, 0.000197, 0.152668, 0.305534
1990, 0.000488, 0.158942, 0.318373
1991, 0.000838, 0.170239, 0.341316
1992, -0.000031, 0.182733, 0.365435
1993, -0.000158, 0.185031, 0.369904
1994, 0.000789, 0.172194, 0.345177
1995, 0.000774, 0.158190, 0.317154
1996, -0.007013, 0.168931, 0.330849
1997, 0.000073, 0.169972, 0.340017
1998, -0.001187, 0.178550, 0.355912
1999, -0.000890, 0.151688, 0.302486
2000, 0.000759, 0.172173, 0.345106
2001, 0.001229, 0.139612, 0.280453
2002, -0.000110, 0.161535, 0.322960
2003, 0.000886, 0.183146, 0.367178
2004, 0.000626, 0.159378, 0.319381
2005, 0.000279, 0.167246, 0.334771
2006, -0.000106, 0.169554, 0.339002
2007, 0.001119, 0.182272, 0.365663
2008, -0.001906, 0.173927, 0.345949
2009, 0.000233, 0.184387, 0.369008
2010, -0.000076, 0.169004, 0.337932
2011, 0.000919, 0.149976, 0.300870
2012, 0.011450, 0.177518, 0.366487
2013, 0.000543, 0.170049, 0.340640
2014, 0.000799, 0.157548, 0.315894
2015, 0.000582, 0.168631, 0.337845
2016, 0.000198, 0.173080, 0.346358
2017, 0.000248, 0.176796, 0.353841
2018, 0.000703, 0.188652, 0.378008
2019, 0.001269, 0.181902, 0.365074
2020, 0.000603, 0.161433, 0.323469
2021, -0.000445, 0.174321, 0.348197
2022, 0.001122, 0.169138, 0.339398
