Year, Average MHW(m) 
1927, 1.9020000000000001 
1928, 1.788166666666667 
1929, 1.7998333333333332 
1930, 1.7945833333333336 
1931, 1.8257500000000004 
1932, 1.8415000000000001 
1933, 1.897666666666667 
1934, 1.8289166666666665 
1935, 1.877916666666667 
1936, 1.8559166666666667 
1937, 1.9035833333333334 
1938, 1.9007500000000004 
1939, 1.9149166666666666 
1940, 1.9495000000000005 
1941, 1.8980833333333338 
1942, 1.904125 
1943, 1.8940000000000001 
1944, 1.9223333333333332 
1945, 1.9558333333333335 
1946, 1.958083333333333 
1947, 1.9130000000000003 
1948, 1.964833333333333 
1949, 1.9319166666666667 
1950, 1.8945833333333335 
1951, 1.9582499999999998 
1952, 1.9506666666666668 
1953, 1.9540833333333332 
1954, 1.9314166666666666 
1955, 1.9703333333333335 
1956, 1.9935833333333333 
1957, 1.981166666666667 
1958, 2.009416666666667 
1959, 1.9435833333333334 
1960, 2.0235833333333337 
1961, 2.014909090909091 
1962, 2.0195833333333333 
1963, 1.9449166666666668 
1964, 1.9557500000000003 
1965, 1.9495833333333332 
1966, 1.975272727272727 
1967, 2.0095833333333335 
1968, 1.993083333333333 
1969, 2.013 
1970, 2.016916666666667 
1971, 2.0368333333333335 
1972, 2.094416666666667 
1973, 2.065083333333334 
1974, 2.042666666666667 
1975, 2.066166666666667 
1976, 1.9880000000000002 
1977, 1.987666666666667 
1978, 2.0901666666666667 
1979, 2.0678333333333336 
1980, 2.0260000000000002 
1981, 2.020666666666667 
1982, 2.056416666666667 
1983, 2.134583333333333 
1984, 2.1056666666666666 
1985, 2.061416666666667 
1986, 2.066916666666667 
1987, 2.09425 
1988, 2.02075 
1989, 2.0508333333333333 
1990, 2.044583333333333 
1991, 2.1041666666666674 
1992, 2.1290833333333334 
1993, 2.1236666666666664 
1994, 2.074666666666667 
1995, 2.1121666666666665 
1996, 2.1849166666666666 
1997, 2.1816666666666666 
1998, 2.2329166666666667 
1999, 2.1769166666666666 
2000, 2.1369166666666666 
2001, 2.1287499999999997 
2002, 2.1003333333333334 
2003, 2.1633333333333336 
2004, 2.1582500000000002 
2005, 2.213416666666667 
2006, 2.180916666666666 
2007, 2.1445833333333333 
2008, 2.1616666666666666 
2009, 2.2319166666666668 
2010, 2.2486666666666673 
2011, 2.2390833333333333 
2012, 2.2445 
2013, 2.2204166666666665 
2014, 2.2512499999999998 
2015, 2.2220833333333334 
2016, 2.259333333333333 
2017, 2.2579166666666666 
2018, 2.2790000000000004 
2019, 2.3074999999999997 
2020, 2.2860833333333335 
2021, 2.272666666666667 
2022, 2.259 
