Year, Average MSL(m) 
1927, 1.532 
1928, 1.4165833333333333 
1929, 1.4310833333333335 
1930, 1.42925 
1931, 1.4600833333333334 
1932, 1.4753333333333334 
1933, 1.53175 
1934, 1.4647500000000002 
1935, 1.5065 
1936, 1.4763333333333335 
1937, 1.5287500000000003 
1938, 1.5213333333333334 
1939, 1.5294999999999999 
1940, 1.5626666666666666 
1941, 1.5152500000000002 
1942, 1.5429166666666665 
1943, 1.50875 
1944, 1.5398333333333334 
1945, 1.5837500000000002 
1946, 1.5838333333333334 
1947, 1.5416666666666667 
1948, 1.5993333333333333 
1949, 1.5675833333333333 
1950, 1.5325833333333332 
1951, 1.5912500000000003 
1952, 1.5885833333333335 
1953, 1.58775 
1954, 1.5560833333333335 
1955, 1.594083333333333 
1956, 1.6125833333333333 
1957, 1.595416666666667 
1958, 1.6291666666666664 
1959, 1.5564166666666666 
1960, 1.6330000000000002 
1961, 1.6353636363636368 
1962, 1.6409999999999998 
1963, 1.5641666666666667 
1964, 1.5877500000000004 
1965, 1.5821666666666667 
1966, 1.6062727272727273 
1967, 1.63975 
1968, 1.6243333333333334 
1969, 1.6530833333333337 
1970, 1.6527500000000002 
1971, 1.6695833333333334 
1972, 1.7291666666666667 
1973, 1.69925 
1974, 1.6706666666666667 
1975, 1.6921666666666664 
1976, 1.6088333333333333 
1977, 1.6049166666666668 
1978, 1.7087500000000002 
1979, 1.6858333333333333 
1980, 1.6515000000000002 
1981, 1.6465000000000003 
1982, 1.684 
1983, 1.7665833333333334 
1984, 1.7430833333333335 
1985, 1.7021666666666668 
1986, 1.7083333333333333 
1987, 1.7390833333333333 
1988, 1.6652499999999997 
1989, 1.6930833333333333 
1990, 1.6815 
1991, 1.7380833333333332 
1992, 1.761916666666667 
1993, 1.7555000000000003 
1994, 1.6999166666666667 
1995, 1.7345 
1996, 1.8132500000000003 
1997, 1.8090833333333336 
1998, 1.8630000000000002 
1999, 1.8040833333333335 
2000, 1.7688333333333333 
2001, 1.7635833333333333 
2002, 1.7376666666666667 
2003, 1.8091666666666668 
2004, 1.8095833333333333 
2005, 1.8690833333333332 
2006, 1.8264166666666666 
2007, 1.7901666666666662 
2008, 1.8081666666666667 
2009, 1.8750833333333334 
2010, 1.8879166666666667 
2011, 1.8715000000000002 
2012, 1.8775833333333336 
2013, 1.8545833333333333 
2014, 1.8811666666666669 
2015, 1.8514166666666665 
2016, 1.8923333333333334 
2017, 1.8871666666666664 
2018, 1.9126666666666665 
2019, 1.947 
2020, 1.9301666666666666 
2021, 1.9175833333333336 
2022, 1.9052499999999994 
