Year, # of Verified points, # of Predicted points, # of Missing points
1927, 8759, 8760, 5885
1928, 8784, 8784, 0
1929, 8760, 8760, 0
1930, 8760, 8760, 833
1931, 8760, 8760, 0
1932, 8784, 8784, 0
1933, 8760, 8760, 277
1934, 8760, 8760, 0
1935, 8760, 8760, 510
1936, 8784, 8784, 0
1937, 8760, 8760, 0
1938, 8760, 8760, 0
1939, 8760, 8760, 0
1940, 8784, 8784, 533
1941, 8760, 8760, 388
1942, 5685, 8760, 0
1943, 8759, 8760, 6186
1944, 8784, 8784, 0
1945, 8760, 8760, 544
1946, 8760, 8760, 0
1947, 8760, 8760, 0
1948, 8784, 8784, 0
1949, 8760, 8760, 0
1950, 8760, 8760, 0
1951, 8760, 8760, 0
1952, 8784, 8784, 0
1953, 8760, 8760, 0
1954, 8760, 8760, 0
1955, 8760, 8760, 0
1956, 8784, 8784, 0
1957, 8760, 8760, 0
1958, 8760, 8760, 0
1959, 8760, 8760, 0
1960, 8784, 8784, 0
1961, 8437, 8760, 30
1962, 8759, 8760, 4
1963, 8760, 8760, 0
1964, 8784, 8784, 0
1965, 8760, 8760, 0
1966, 8760, 8760, 768
1967, 8760, 8760, 0
1968, 8784, 8784, 0
1969, 8760, 8760, 0
1970, 8760, 8760, 0
1971, 8760, 8760, 0
1972, 8784, 8784, 333
1973, 8760, 8760, 0
1974, 8760, 8760, 0
1975, 8760, 8760, 1283
1976, 8784, 8784, 166
1977, 8760, 8760, 0
1978, 8760, 8760, 0
1979, 8760, 8760, 0
1980, 8784, 8784, 0
1981, 8760, 8760, 0
1982, 8760, 8760, 0
1983, 8760, 8760, 0
1984, 8784, 8784, 0
1985, 8760, 8760, 0
1986, 8760, 8760, 0
1987, 8760, 8760, 0
1988, 8784, 8784, 0
1989, 8760, 8760, 0
1990, 8760, 8760, 0
1991, 8760, 8760, 0
1992, 8784, 8784, 0
1993, 8760, 8760, 0
1994, 8760, 8760, 0
1995, 8760, 8760, 0
1996, 8784, 8784, 0
1997, 8760, 8760, 0
1998, 8760, 8760, 0
1999, 8760, 8760, 0
2000, 8784, 8784, 0
2001, 8760, 8760, 0
2002, 8760, 8760, 0
2003, 8760, 8760, 0
2004, 8784, 8784, 0
2005, 8760, 8760, 0
2006, 8760, 8760, 0
2007, 8760, 8760, 0
2008, 8784, 8784, 0
2009, 8760, 8760, 0
2010, 8760, 8760, 0
2011, 8760, 8760, 0
2012, 8784, 8784, 0
2013, 8760, 8760, 0
2014, 8760, 8760, 0
2015, 8760, 8760, 0
2016, 8784, 8784, 0
2017, 8760, 8760, 0
2018, 8760, 8760, 0
2019, 8760, 8760, 0
2020, 8784, 8784, 0
2021, 8760, 8760, 0
2022, 8760, 8760, 0
