Year, Number of Storms, Total SEPI 
1927, 4, 11.796628 
1928, 11, 154.448388 
1929, 15, 203.531198 
1930, 18, 132.268097 
1931, 16, 124.256954 
1932, 12, 246.792944 
1933, 7, 340.973043 
1934, 20, 87.894739 
1935, 13, 200.086566 
1936, 17, 98.689421 
1937, 12, 190.737955 
1938, 18, 118.967371 
1939, 14, 173.351455 
1940, 14, 138.531023 
1941, 16, 104.429542 
1942, 11, 74.664661 
1943, 4, 77.679777 
1944, 19, 129.485521 
1945, 12, 205.896749 
1946, 16, 202.880241 
1947, 11, 153.541515 
1948, 23, 145.296967 
1949, 12, 144.220347 
1950, 18, 100.057552 
1951, 12, 189.831810 
1952, 12, 160.666767 
1953, 16, 148.181225 
1954, 17, 189.942561 
1955, 15, 137.450042 
1956, 9, 376.985996 
1957, 14, 185.234604 
1958, 15, 225.151195 
1959, 21, 102.989612 
1960, 19, 137.768930 
1961, 15, 173.720943 
1962, 9, 314.313425 
1963, 22, 144.678569 
1964, 17, 220.754776 
1965, 15, 142.706933 
1966, 16, 133.784283 
1967, 16, 153.018891 
1968, 10, 188.931000 
1969, 15, 186.075985 
1970, 18, 144.048608 
1971, 13, 181.222347 
1972, 14, 191.769380 
1973, 14, 226.470144 
1974, 17, 135.705954 
1975, 16, 118.830038 
1976, 20, 155.379903 
1977, 10, 259.398808 
1978, 12, 154.999810 
1979, 15, 124.941984 
1980, 14, 168.268380 
1981, 10, 141.173036 
1982, 13, 231.221896 
1983, 14, 214.846722 
1984, 11, 134.762980 
1985, 15, 269.261849 
1986, 16, 143.751193 
1987, 15, 217.263031 
1988, 13, 219.239766 
1989, 12, 172.767120 
1990, 13, 123.121764 
1991, 13, 253.381796 
1992, 8, 284.688429 
1993, 13, 208.180060 
1994, 16, 292.486924 
1995, 12, 167.922767 
1996, 14, 150.285175 
1997, 13, 170.213447 
1998, 11, 460.420280 
1999, 12, 251.444968 
2000, 11, 233.296500 
2001, 13, 139.534383 
2002, 18, 86.323766 
2003, 14, 239.560332 
2004, 20, 175.040864 
2005, 13, 176.638006 
2006, 12, 310.946826 
2007, 17, 152.159230 
2008, 13, 237.346919 
2009, 12, 386.008246 
2010, 16, 247.592510 
2011, 15, 131.139064 
2012, 17, 193.821319 
2013, 13, 222.153019 
2014, 14, 156.884290 
2015, 10, 331.275726 
2016, 12, 267.410226 
2017, 11, 225.996076 
2018, 12, 179.622914 
2019, 15, 244.322660 
2020, 10, 138.122482 
2021, 15, 209.823477 
2022, 13, 350.563666 
