currentYear, averageSurge, standardDevSurge, surgeThreshold 
1927, -0.095694, 0.111926, 0.128157
1928, 0.000395, 0.158542, 0.317479
1929, -0.001005, 0.168596, 0.336188
1930, 0.001143, 0.151485, 0.304112
1931, 0.000604, 0.144908, 0.290419
1932, -0.000428, 0.183673, 0.366917
1933, 0.005447, 0.201031, 0.407509
1934, -0.000058, 0.149179, 0.298300
1935, 0.003261, 0.161381, 0.326023
1936, 0.003046, 0.161634, 0.326314
1937, 0.002509, 0.176820, 0.356149
1938, -0.000147, 0.157455, 0.314763
1939, 0.000077, 0.165978, 0.332033
1940, 0.001293, 0.164830, 0.330953
1941, -0.000657, 0.158906, 0.317155
1942, -0.011046, 0.152618, 0.294191
1943, -0.009882, 0.174144, 0.338406
1944, -0.000176, 0.156765, 0.313354
1945, 0.000708, 0.156364, 0.313437
1946, 0.000537, 0.167665, 0.335868
1947, 0.000745, 0.175712, 0.352169
1948, 0.000172, 0.166406, 0.332985
1949, 0.003014, 0.156479, 0.315971
1950, -0.000492, 0.150172, 0.299852
1951, 0.000151, 0.154818, 0.309787
1952, 0.002788, 0.161709, 0.326205
1953, 0.000698, 0.159484, 0.319667
1954, -0.000030, 0.165844, 0.331657
1955, 0.003352, 0.158476, 0.320303
1956, 0.000703, 0.196420, 0.393543
1957, 0.002927, 0.159265, 0.321456
1958, 0.000706, 0.181933, 0.364573
1959, 0.004013, 0.167107, 0.338228
1960, 0.002730, 0.159416, 0.321563
1961, -0.010406, 0.159364, 0.308322
1962, -0.000207, 0.197406, 0.394604
1963, -0.000750, 0.158288, 0.315827
1964, -0.003245, 0.161898, 0.320552
1965, 0.000387, 0.154451, 0.309289
1966, 0.004773, 0.166070, 0.336913
1967, -0.002500, 0.164662, 0.326823
1968, -0.000204, 0.170569, 0.340933
1969, -0.000156, 0.177109, 0.354061
1970, 0.000374, 0.143107, 0.286589
1971, -0.000318, 0.170223, 0.340127
1972, 0.002346, 0.185692, 0.373729
1973, 0.000280, 0.181515, 0.363310
1974, 0.002364, 0.169773, 0.341910
1975, 0.002642, 0.154559, 0.311761
1976, 0.003669, 0.158003, 0.319676
1977, -0.001000, 0.182882, 0.364764
1978, -0.001479, 0.171149, 0.340819
1979, -0.001302, 0.150342, 0.299381
1980, 0.000648, 0.169491, 0.339630
1981, 0.000584, 0.161220, 0.323024
1982, -0.000064, 0.169122, 0.338179
1983, -0.000440, 0.181390, 0.362339
1984, 0.000029, 0.144970, 0.289968
1985, 0.000851, 0.169265, 0.339381
1986, -0.000712, 0.153732, 0.306753
1987, 0.000563, 0.182122, 0.364806
1988, -0.000010, 0.163339, 0.326668
1989, 0.000125, 0.151908, 0.303940
1990, 0.000444, 0.142863, 0.286171
1991, 0.000607, 0.177016, 0.354639
1992, 0.000365, 0.169753, 0.339870
1993, -0.000129, 0.193540, 0.386951
1994, 0.000253, 0.179443, 0.359140
1995, 0.001687, 0.154428, 0.310543
1996, 0.000621, 0.160548, 0.321716
1997, 0.000044, 0.163716, 0.327477
1998, -0.001536, 0.218179, 0.434822
1999, -0.000848, 0.175766, 0.350683
2000, 0.000718, 0.170803, 0.342323
2001, 0.000814, 0.135616, 0.272047
2002, -0.000264, 0.152559, 0.304853
2003, 0.000314, 0.177726, 0.355765
2004, 0.000277, 0.156075, 0.312427
2005, -0.000069, 0.157847, 0.315624
2006, 0.000108, 0.175452, 0.351011
2007, 0.000711, 0.153122, 0.306955
2008, 0.000124, 0.162782, 0.325687
2009, 0.000509, 0.200449, 0.401408
2010, 0.000092, 0.167974, 0.336040
2011, 0.000814, 0.146350, 0.293515
2012, 0.000510, 0.167802, 0.336115
2013, 0.000510, 0.163302, 0.327115
2014, 0.000358, 0.157998, 0.316355
2015, 0.000578, 0.180845, 0.362269
2016, 0.000563, 0.178598, 0.357759
2017, 0.000045, 0.170212, 0.340469
2018, 0.000847, 0.167974, 0.336795
2019, 0.000794, 0.160183, 0.321159
2020, 0.000452, 0.159714, 0.319881
2021, -0.000310, 0.170168, 0.340026
2022, 0.001086, 0.182027, 0.365141
