1927-08-27 03:00:00, 1927-08-27 05:00:00, 2.304610, 2:00:00, 0.0 
1928-03-10 16:00:00, 1928-03-10 16:00:00, 0.662479, 0:00:00, 0.0 
1928-03-18 08:00:00, 1928-03-18 12:00:00, 3.454610, 4:00:00, 0.0 
1928-04-11 07:00:00, 1928-04-12 04:00:00, 8.733194, 21:00:00, 0.0 
1928-05-07 16:00:00, 1928-05-09 20:00:00, 44.905957, 2 days, 4:00:00, 0.0 
1928-05-24 16:00:00, 1928-05-24 16:00:00, 0.664177, 0:00:00, 0.0 
1928-06-23 08:00:00, 1928-06-23 08:00:00, 0.682289, 0:00:00, 0.0 
1928-09-18 17:00:00, 1928-09-19 22:00:00, 53.913093, 1 day, 5:00:00, 0.0 
1928-09-30 17:00:00, 1928-10-02 05:00:00, 15.770658, 1 day, 12:00:00, 0.0 
1928-11-11 13:00:00, 1928-11-12 04:00:00, 8.502107, 15:00:00, 0.0 
1928-12-08 09:00:00, 1928-12-09 15:00:00, 10.981319, 1 day, 6:00:00, 0.0 
1929-02-20 12:00:00, 1929-02-20 13:00:00, 0.705071, 1:00:00, 0.0 
1929-02-21 11:00:00, 1929-02-21 14:00:00, 2.396859, 3:00:00, 0.0 
1929-04-11 02:00:00, 1929-04-12 16:00:00, 17.697509, 1 day, 14:00:00, 0.0 
1929-04-15 04:00:00, 1929-04-16 23:00:00, 40.584407, 1 day, 19:00:00, 0.0 
1929-04-22 14:00:00, 1929-04-23 03:00:00, 5.363457, 13:00:00, 0.0 
1929-05-21 02:00:00, 1929-05-21 03:00:00, 0.643040, 1:00:00, 0.0 
1929-06-03 12:00:00, 1929-06-03 12:00:00, 0.634882, 0:00:00, 0.0 
1929-06-09 13:00:00, 1929-06-11 08:00:00, 27.061947, 1 day, 19:00:00, 0.0 
1929-07-21 04:00:00, 1929-07-22 02:00:00, 5.658113, 22:00:00, 0.0 
1929-09-21 03:00:00, 1929-09-24 04:00:00, 72.125316, 3 days, 1:00:00, 0.0 
1929-10-01 13:00:00, 1929-10-02 16:00:00, 23.076869, 1 day, 3:00:00, 0.0 
1929-11-23 22:00:00, 1929-11-23 22:00:00, 0.710001, 0:00:00, 0.0 
1929-12-12 10:00:00, 1929-12-12 13:00:00, 2.240499, 3:00:00, 0.0 
1929-12-16 15:00:00, 1929-12-16 16:00:00, 0.697147, 1:00:00, 0.0 
1929-12-23 09:00:00, 1929-12-23 21:00:00, 3.828153, 12:00:00, 0.0 
1929-12-24 11:00:00, 1929-12-24 11:00:00, 0.668902, 0:00:00, 0.0 
1930-01-11 09:00:00, 1930-01-11 13:00:00, 3.092447, 4:00:00, 0.0 
1930-01-16 14:00:00, 1930-01-16 18:00:00, 3.153668, 4:00:00, 0.0 
1930-01-23 10:00:00, 1930-01-23 12:00:00, 1.383477, 2:00:00, 0.0 
1930-01-29 13:00:00, 1930-01-29 16:00:00, 2.712720, 3:00:00, 0.0 
1930-01-30 11:00:00, 1930-01-31 17:00:00, 22.361283, 1 day, 6:00:00, 0.0 
1930-02-05 08:00:00, 1930-02-05 20:00:00, 2.793881, 12:00:00, 0.0 
1930-02-16 06:00:00, 1930-02-16 06:00:00, 0.782000, 0:00:00, 0.0 
1930-03-08 18:00:00, 1930-03-08 22:00:00, 3.111562, 4:00:00, 0.0 
1930-08-21 09:00:00, 1930-08-24 02:00:00, 45.064605, 2 days, 17:00:00, 0.0 
1930-10-09 16:00:00, 1930-10-10 18:00:00, 8.433331, 1 day, 2:00:00, 0.0 
1930-11-04 08:00:00, 1930-11-04 14:00:00, 11.995561, 6:00:00, 0.0 
1930-12-29 08:00:00, 1930-12-29 11:00:00, 2.174751, 3:00:00, 0.0 
1931-01-15 00:00:00, 1931-01-15 00:00:00, 0.665367, 0:00:00, 0.0 
1931-03-03 13:00:00, 1931-03-05 17:00:00, 21.366401, 2 days, 4:00:00, 0.0 
1931-03-17 15:00:00, 1931-03-17 16:00:00, 0.752740, 1:00:00, 0.0 
1931-03-22 17:00:00, 1931-03-24 08:00:00, 30.985575, 1 day, 15:00:00, 0.0 
1931-04-06 07:00:00, 1931-04-07 08:00:00, 7.346122, 1 day, 1:00:00, 0.0 
1931-05-14 00:00:00, 1931-05-14 00:00:00, 0.757220, 0:00:00, 0.0 
1931-06-11 00:00:00, 1931-06-11 01:00:00, 0.697252, 1:00:00, 0.0 
1931-08-21 23:00:00, 1931-08-23 14:00:00, 36.984245, 1 day, 15:00:00, 0.0 
1931-09-29 06:00:00, 1931-09-29 06:00:00, 0.706400, 0:00:00, 0.0 
1932-01-01 05:00:00, 1932-01-02 23:00:00, 28.921577, 1 day, 18:00:00, 0.0 
1932-01-09 17:00:00, 1932-01-10 18:00:00, 7.888688, 1 day, 1:00:00, 0.0 
1932-02-04 14:00:00, 1932-02-05 00:00:00, 1.331486, 10:00:00, 0.0 
1932-02-09 04:00:00, 1932-02-09 06:00:00, 1.636899, 2:00:00, 0.0 
1932-02-28 08:00:00, 1932-03-01 22:00:00, 23.497013, 2 days, 14:00:00, 0.0 
1932-03-02 12:00:00, 1932-03-06 19:00:00, 53.626836, 4 days, 7:00:00, 0.0 
1932-04-10 04:00:00, 1932-04-10 06:00:00, 1.456025, 2:00:00, 0.0 
1932-05-12 05:00:00, 1932-05-12 09:00:00, 0.673280, 4:00:00, 0.0 
1932-05-13 05:00:00, 1932-05-13 07:00:00, 1.470557, 2:00:00, 0.0 
1932-09-08 04:00:00, 1932-09-10 02:00:00, 34.182343, 1 day, 22:00:00, 0.0 
1932-09-16 05:00:00, 1932-09-16 15:00:00, 4.261386, 10:00:00, 0.0 
1932-11-09 01:00:00, 1932-11-11 03:00:00, 39.717680, 2 days, 2:00:00, 0.0 
1932-11-20 04:00:00, 1932-11-20 05:00:00, 0.676842, 1:00:00, 0.0 
1932-11-26 22:00:00, 1932-12-01 06:00:00, 70.411428, 4 days, 8:00:00, 0.0 
1932-12-17 17:00:00, 1932-12-17 20:00:00, 2.637650, 3:00:00, 0.0 
1933-01-26 00:00:00, 1933-01-29 19:00:00, 83.761644, 3 days, 19:00:00, 0.0 
1933-04-04 06:00:00, 1933-04-04 06:00:00, 0.689883, 0:00:00, 0.0 
1933-04-12 14:00:00, 1933-04-12 17:00:00, 2.293127, 3:00:00, 0.0 
1933-04-20 00:00:00, 1933-04-22 03:00:00, 55.246054, 2 days, 3:00:00, 0.0 
1933-06-01 17:00:00, 1933-06-01 22:00:00, 4.024161, 5:00:00, 0.0 
1933-06-02 10:00:00, 1933-06-03 00:00:00, 2.915788, 14:00:00, 0.0 
1933-07-03 17:00:00, 1933-07-05 00:00:00, 40.352231, 1 day, 7:00:00, 0.0 
1933-07-12 16:00:00, 1933-07-13 04:00:00, 4.610829, 12:00:00, 0.0 
1933-07-14 07:00:00, 1933-07-14 07:00:00, 0.734630, 0:00:00, 0.0 
1933-08-21 11:00:00, 1933-08-22 05:00:00, 6.884230, 18:00:00, 0.0 
1933-08-22 23:00:00, 1933-08-23 19:00:00, 76.766382, 20:00:00, 0.0 
1933-09-15 19:00:00, 1933-09-18 04:00:00, 101.670361, 2 days, 9:00:00, 0.0 
1933-10-06 00:00:00, 1933-10-07 02:00:00, 11.853031, 1 day, 2:00:00, 0.0 
1933-10-25 16:00:00, 1933-10-25 16:00:00, 0.692748, 0:00:00, 0.0 
1933-11-05 16:00:00, 1933-11-06 06:00:00, 4.476301, 14:00:00, 0.0 
1934-01-03 17:00:00, 1934-01-03 18:00:00, 0.667846, 1:00:00, 0.0 
1934-01-29 11:00:00, 1934-01-29 11:00:00, 0.705442, 0:00:00, 0.0 
1934-02-09 12:00:00, 1934-02-09 12:00:00, 0.664128, 0:00:00, 0.0 
1934-02-20 04:00:00, 1934-02-20 04:00:00, 0.697590, 0:00:00, 0.0 
1934-03-20 08:00:00, 1934-03-20 20:00:00, 13.801460, 12:00:00, 0.0 
