Year, Average MHW(m) 
1926, 2.21275 
1927, 2.2351666666666667 
1928, 2.1765833333333338 
1929, 2.19075 
1930, 2.173333333333334 
1931, 2.221166666666667 
1932, 2.2172499999999995 
1933, 2.24175 
1934, 2.2010833333333335 
1935, 2.2524166666666665 
1936, 2.23625 
1937, 2.2753333333333337 
1938, 2.3082500000000006 
1939, 2.3203333333333336 
1940, 2.325583333333334 
1941, 2.2930833333333336 
1942, 2.3312500000000003 
1943, 2.3050833333333336 
1944, 2.3200000000000003 
1945, 2.3433333333333337 
1946, 2.323916666666667 
1947, 2.309833333333333 
1948, 2.34275 
1949, 2.304666666666667 
1950, 2.2754999999999996 
1951, 2.335916666666667 
1952, 2.33025 
1953, 2.3370833333333336 
1954, 2.326083333333333 
1955, 2.3519166666666664 
1956, 2.383083333333334 
1957, 2.335416666666667 
1958, 2.4175 
1959, 2.3560000000000003 
1960, 2.413 
1961, 2.3824166666666664 
1962, 2.4181666666666666 
1963, 2.339 
1964, 2.35475 
1965, 2.3659166666666667 
1966, 2.3613333333333335 
1967, 2.3933333333333335 
1968, 2.3439166666666673 
1969, 2.3848333333333334 
1970, 2.3828333333333336 
1971, 2.3863333333333334 
1972, 2.4173333333333336 
1973, 2.42475 
1974, 2.4075833333333336 
1975, 2.4252500000000006 
1976, 2.3675 
1977, 2.400916666666667 
1978, 2.468916666666667 
1979, 2.4203333333333332 
1980, 2.3899166666666667 
1981, 2.3893333333333326 
1982, 2.390416666666667 
1983, 2.4747500000000002 
1984, 2.4395000000000002 
1985, 2.3900833333333336 
1986, 2.399583333333334 
1987, 2.4162500000000002 
1988, 2.3670000000000004 
1989, 2.3690833333333337 
1990, 2.38275 
1991, 2.4278333333333335 
1992, 2.4526666666666666 
1993, 2.4666666666666672 
1994, 2.419083333333333 
1995, 2.46 
1996, 2.5286666666666666 
1997, 2.5041666666666664 
1998, 2.5303333333333335 
1999, 2.4804999999999997 
2000, 2.47325 
2001, 2.466833333333333 
2002, 2.431833333333333 
2003, 2.4476666666666667 
2004, 2.4340833333333336 
2005, 2.494333333333333 
2006, 2.4743333333333335 
2007, 2.427416666666667 
2008, 2.4995833333333333 
2009, 2.53725 
2010, 2.5805000000000002 
2011, 2.589 
2012, 2.569833333333333 
2013, 2.536083333333334 
2014, 2.561666666666666 
2015, 2.53425 
2016, 2.5581666666666663 
2017, 2.5747500000000003 
2018, 2.5945833333333335 
2019, 2.6020833333333333 
2020, 2.595 
2021, 2.5905 
2022, 2.5656666666666665 
