Year, Average MSL(m) 
1926, 1.5519999999999998 
1927, 1.5875000000000001 
1928, 1.54 
1929, 1.5555 
1930, 1.5434166666666667 
1931, 1.5886666666666667 
1932, 1.5859166666666669 
1933, 1.6149166666666668 
1934, 1.5699166666666668 
1935, 1.6123333333333332 
1936, 1.5903333333333336 
1937, 1.6258333333333335 
1938, 1.6410833333333332 
1939, 1.6415833333333332 
1940, 1.6418333333333335 
1941, 1.6173333333333335 
1942, 1.6545000000000005 
1943, 1.6330833333333334 
1944, 1.6508333333333336 
1945, 1.6815 
1946, 1.665166666666667 
1947, 1.6538333333333337 
1948, 1.6920833333333334 
1949, 1.6597499999999998 
1950, 1.630583333333333 
1951, 1.6890833333333335 
1952, 1.6875 
1953, 1.6885833333333338 
1954, 1.6665833333333335 
1955, 1.6889166666666666 
1956, 1.7100833333333334 
1957, 1.660166666666667 
1958, 1.7297500000000001 
1959, 1.6643333333333334 
1960, 1.7229166666666667 
1961, 1.6964166666666667 
1962, 1.7325833333333334 
1963, 1.6634166666666665 
1964, 1.6992500000000004 
1965, 1.705416666666667 
1966, 1.6978333333333333 
1967, 1.7440833333333334 
1968, 1.6973333333333336 
1969, 1.742 
1970, 1.7357500000000001 
1971, 1.7369999999999999 
1972, 1.7666666666666666 
1973, 1.7597500000000001 
1974, 1.727666666666667 
1975, 1.7374166666666666 
1976, 1.6794999999999998 
1977, 1.7065000000000001 
1978, 1.7772500000000002 
1979, 1.7275000000000003 
1980, 1.7010000000000003 
1981, 1.7069166666666666 
1982, 1.7188333333333337 
1983, 1.8081666666666667 
1984, 1.7850833333333334 
1985, 1.73675 
1986, 1.7574166666666666 
1987, 1.7813333333333337 
1988, 1.7269166666666667 
1989, 1.7288333333333334 
1990, 1.7390833333333333 
1991, 1.7720000000000002 
1992, 1.7910000000000004 
1993, 1.8012499999999996 
1994, 1.7488333333333335 
1995, 1.7749166666666667 
1996, 1.85325 
1997, 1.830583333333333 
1998, 1.8529999999999995 
1999, 1.8005833333333336 
2000, 1.808833333333333 
2001, 1.8084166666666668 
2002, 1.7715000000000003 
2003, 1.8061666666666667 
2004, 1.8036666666666668 
2005, 1.8670833333333332 
2006, 1.842583333333333 
2007, 1.7874166666666669 
2008, 1.8455000000000001 
2009, 1.8727500000000001 
2010, 1.9093333333333335 
2011, 1.9054166666666668 
2012, 1.8798333333333332 
2013, 1.8467500000000001 
2014, 1.8669166666666666 
2015, 1.8366666666666667 
2016, 1.856 
2017, 1.8741666666666665 
2018, 1.9007500000000004 
2019, 1.9189999999999998 
2020, 1.9182500000000002 
2021, 1.9223333333333334 
2022, 1.9050833333333337 
