Year, Number of Storms, Total SEPI 
1926, 2, 4.111515 
1927, 18, 134.668178 
1928, 16, 76.390642 
1929, 20, 107.808127 
1930, 25, 63.491259 
1931, 17, 92.037764 
1932, 18, 166.609350 
1933, 15, 108.570213 
1934, 21, 38.367724 
1935, 19, 114.131609 
1936, 15, 75.195472 
1937, 22, 90.891860 
1938, 24, 78.339530 
1939, 19, 52.089094 
1940, 18, 90.521307 
1941, 17, 58.818676 
1942, 15, 78.005205 
1943, 14, 83.417275 
1944, 16, 118.481301 
1945, 11, 129.824435 
1946, 21, 35.917462 
1947, 17, 85.276916 
1948, 20, 72.095579 
1949, 21, 62.641698 
1950, 15, 172.236381 
1951, 20, 94.163194 
1952, 16, 119.431500 
1953, 16, 101.461309 
1954, 20, 49.519184 
1955, 17, 136.640174 
1956, 17, 106.998775 
1957, 27, 75.940146 
1958, 13, 43.440019 
1959, 11, 78.664745 
1960, 15, 97.324628 
1961, 17, 156.061179 
1962, 12, 168.601135 
1963, 15, 85.278891 
1964, 16, 58.370452 
1965, 23, 74.687838 
1966, 18, 93.652127 
1967, 25, 101.110262 
1968, 14, 104.263453 
1969, 15, 87.671485 
1970, 22, 118.041976 
1971, 19, 74.055250 
1972, 18, 144.694803 
1973, 21, 119.084852 
1974, 19, 54.713510 
1975, 13, 63.126603 
1976, 19, 56.349775 
1977, 10, 170.540542 
1978, 21, 124.646476 
1979, 17, 107.948057 
1980, 15, 96.729640 
1981, 9, 39.934810 
1982, 20, 92.047679 
1983, 26, 115.270797 
1984, 17, 134.827937 
1985, 14, 146.913619 
1986, 21, 84.968258 
1987, 24, 78.800003 
1988, 20, 99.681478 
1989, 16, 63.094186 
1990, 18, 69.972455 
1991, 15, 153.706306 
1992, 10, 213.564257 
1993, 14, 128.670152 
1994, 16, 103.304472 
1995, 15, 97.048169 
1996, 18, 151.920029 
1997, 11, 38.762580 
1998, 18, 161.235682 
1999, 20, 75.617075 
2000, 16, 68.134685 
2001, 10, 36.968872 
2002, 17, 88.488953 
2003, 13, 90.416689 
2004, 10, 55.786883 
2005, 18, 147.688518 
2006, 14, 123.654383 
2007, 21, 118.697091 
2008, 20, 90.760124 
2009, 18, 119.975611 
2010, 23, 138.923478 
2011, 19, 69.296772 
2012, 12, 260.471564 
2013, 15, 126.698768 
2014, 18, 90.114358 
2015, 14, 102.374053 
2016, 15, 135.434716 
2017, 19, 108.360090 
2018, 17, 189.742227 
2019, 14, 120.142870 
2020, 20, 75.661111 
2021, 11, 167.852468 
2022, 15, 160.749165 
