currentYear, averageSurge, standardDevSurge, surgeThreshold 
1926, 0.029093, 0.184065, 0.397222
1927, -0.000452, 0.182734, 0.365017
1928, 0.000935, 0.184962, 0.370858
1929, -0.000799, 0.186506, 0.372213
1930, 0.001293, 0.165236, 0.331766
1931, 0.000353, 0.163337, 0.327027
1932, -0.000142, 0.208438, 0.416734
1933, 0.000383, 0.202485, 0.405353
1934, 0.000687, 0.168155, 0.336996
1935, 0.000601, 0.165195, 0.330991
1936, 0.000289, 0.179681, 0.359650
1937, -0.000816, 0.167659, 0.334502
1938, 0.000783, 0.157083, 0.314950
1939, 0.000147, 0.180155, 0.360458
1940, 0.000291, 0.173196, 0.346684
1941, 0.003772, 0.175533, 0.354837
1942, 0.000746, 0.184661, 0.370069
1943, -0.000312, 0.177823, 0.355335
1944, -0.000647, 0.177517, 0.354387
1945, 0.000461, 0.188142, 0.376744
1946, 0.000803, 0.161607, 0.324017
1947, 0.000677, 0.185426, 0.371529
1948, 0.001636, 0.159223, 0.320082
1949, 0.000139, 0.150565, 0.301270
1950, 0.000616, 0.194281, 0.389178
1951, -0.002847, 0.173646, 0.344444
1952, 0.002970, 0.166614, 0.336199
1953, 0.001678, 0.175155, 0.351988
1954, -0.002881, 0.163602, 0.324323
1955, 0.000207, 0.185599, 0.371405
1956, 0.000915, 0.168148, 0.337211
1957, 0.000257, 0.151693, 0.303644
1958, -0.030213, 0.160904, 0.291595
1959, 0.001367, 0.190403, 0.382173
1960, 0.000023, 0.184472, 0.368968
1961, -0.003104, 0.179871, 0.356638
1962, 0.000090, 0.195570, 0.391230
1963, -0.000870, 0.180511, 0.360152
1964, 0.000558, 0.171023, 0.342604
1965, -0.002438, 0.151026, 0.299615
1966, -0.002918, 0.182794, 0.362669
1967, -0.002611, 0.172724, 0.342837
1968, -0.002966, 0.189341, 0.375717
1969, -0.000421, 0.175946, 0.351471
1970, 0.000440, 0.157849, 0.316137
1971, 0.000299, 0.177556, 0.355411
1972, 0.000092, 0.202794, 0.405680
1973, 0.001028, 0.187182, 0.375391
1974, 0.001619, 0.155149, 0.311917
1975, -0.000674, 0.167966, 0.335257
1976, 0.012861, 0.168408, 0.349678
1977, 0.055169, 0.191630, 0.438428
1978, -0.003719, 0.185745, 0.367771
1979, -0.002661, 0.171903, 0.341146
1980, -0.002720, 0.182315, 0.361910
1981, 0.007171, 0.164243, 0.335657
1982, 0.000848, 0.175372, 0.351592
1983, 0.000101, 0.175358, 0.350816
1984, 0.000111, 0.160670, 0.321452
1985, 0.000178, 0.174985, 0.350148
1986, -0.000664, 0.163315, 0.325965
1987, 0.001177, 0.160546, 0.322268
1988, -0.000088, 0.156291, 0.312493
1989, 0.000308, 0.154569, 0.309445
1990, 0.000447, 0.158966, 0.318378
1991, 0.000261, 0.167003, 0.334266
1992, 0.000269, 0.181646, 0.363562
1993, 0.000238, 0.184751, 0.369739
1994, 0.000253, 0.171020, 0.342292
1995, 0.000853, 0.160605, 0.322063
1996, 0.000614, 0.180532, 0.361678
1997, 0.000969, 0.195919, 0.392806
1998, -0.001064, 0.175477, 0.349889
1999, -0.000597, 0.150090, 0.299583
2000, 0.001050, 0.169519, 0.340087
2001, -0.019941, 0.113447, 0.206953
2002, -0.000146, 0.160399, 0.320652
2003, 0.000962, 0.182214, 0.365390
2004, 0.017687, 0.154282, 0.326252
2005, 0.000311, 0.166333, 0.332977
2006, 0.000012, 0.170681, 0.341375
2007, 0.001145, 0.184785, 0.370715
2008, 0.000376, 0.172638, 0.345653
2009, 0.000428, 0.183460, 0.367348
2010, -0.000015, 0.169608, 0.339200
2011, 0.000886, 0.153947, 0.308781
2012, 0.000742, 0.183324, 0.367391
2013, 0.000769, 0.169059, 0.338887
2014, 0.000848, 0.154267, 0.309382
2015, 0.000493, 0.171223, 0.342939
2016, 0.000415, 0.173475, 0.347364
2017, 0.000028, 0.177708, 0.355445
2018, 0.000810, 0.189057, 0.378923
2019, 0.001380, 0.184477, 0.370335
2020, 0.000825, 0.163113, 0.327050
2021, 0.000045, 0.174475, 0.348995
2022, 0.001214, 0.168639, 0.338493
