Year, Average MHW(m) 
1935, 1.8266250000000002 
1936, 1.8783333333333336 
1937, 1.8810833333333334 
1938, 1.8819166666666665 
1939, 1.8861666666666668 
1940, 1.845416666666667 
1941, 1.7996666666666667 
1942, 1.8717500000000005 
1943, 1.8875000000000002 
1944, 1.9150833333333335 
1945, 1.9197500000000003 
1946, 1.9520000000000002 
1947, 1.9369166666666662 
1948, 1.99575 
1949, 1.949 
1950, 1.8901666666666668 
1951, 1.8763333333333339 
1952, 1.9244999999999999 
1953, 1.911416666666667 
1954, 1.9050833333333335 
1955, 1.968583333333333 
1956, 1.9400833333333332 
1957, 1.9985833333333336 
1958, 1.9808333333333337 
1959, 1.9965000000000002 
1960, 2.03475 
1961, 1.9793333333333336 
1962, 2.0035 
1963, 1.9615000000000002 
1964, 1.9783333333333335 
1965, 1.986 
1966, 1.9700000000000004 
1967, 1.9785833333333331 
1968, 1.9449166666666668 
1969, 2.0132499999999998 
1970, 2.0185000000000004 
1971, 2.04575 
1972, 2.0756666666666668 
1973, 2.1027500000000003 
1974, 2.0910833333333336 
1975, 2.1197500000000002 
1976, 2.032083333333334 
1977, 2.0604999999999998 
1978, 2.0887500000000006 
1979, 2.0728333333333335 
1980, 2.0416666666666674 
1981, 2.0191666666666666 
1982, 2.0576666666666674 
1983, 2.100666666666667 
1984, 2.103166666666667 
1985, 2.062416666666667 
1986, 2.0509999999999997 
1987, 2.05975 
1988, 2.022583333333334 
1989, 2.0712500000000005 
1990, 2.0675 
1991, 2.1041666666666674 
1992, 2.1038333333333337 
1993, 2.106833333333333 
1994, 2.0877499999999998 
1995, 2.159666666666667 
1996, 2.1340833333333333 
1997, 2.1268333333333334 
1998, 2.1420833333333333 
1999, 2.166166666666667 
2000, 2.1163333333333334 
2001, 2.0835833333333333 
2002, 2.095833333333333 
2003, 2.1508333333333334 
2004, 2.0917499999999998 
2005, 2.13675 
2006, 2.1253333333333333 
2007, 2.103833333333333 
2008, 2.110666666666667 
2009, 2.1612500000000003 
2010, 2.154916666666667 
2011, 2.1260833333333333 
2012, 2.1676666666666664 
2013, 2.180333333333333 
2014, 2.250583333333333 
2015, 2.2555833333333335 
2016, 2.2866666666666666 
2017, 2.22 
2018, 2.277583333333333 
2019, 2.299583333333333 
2020, 2.3072499999999994 
2021, 2.2680833333333337 
2022, 2.2496666666666667 
