Year, Average MSL(m) 
1935, 1.34 
1936, 1.3936666666666664 
1937, 1.3849999999999998 
1938, 1.3644999999999998 
1939, 1.3786666666666667 
1940, 1.332166666666667 
1941, 1.2869166666666667 
1942, 1.361 
1943, 1.3804999999999998 
1944, 1.413916666666667 
1945, 1.4210833333333335 
1946, 1.4525000000000003 
1947, 1.4296666666666666 
1948, 1.4936666666666667 
1949, 1.42725 
1950, 1.3619166666666667 
1951, 1.356 
1952, 1.40025 
1953, 1.379083333333333 
1954, 1.3643333333333334 
1955, 1.4276666666666669 
1956, 1.3871666666666667 
1957, 1.4369999999999996 
1958, 1.4072500000000001 
1959, 1.4194166666666665 
1960, 1.47075 
1961, 1.4026666666666667 
1962, 1.4161249999999999 
1963, 1.3761666666666665 
1964, 1.4095833333333332 
1965, 1.3854166666666667 
1966, 1.40125 
1967, 1.405083333333333 
1968, 1.3598333333333334 
1969, 1.4295 
1970, 1.4330833333333333 
1971, 1.4543333333333333 
1972, 1.488166666666667 
1973, 1.5198333333333334 
1974, 1.489 
1975, 1.5183333333333333 
1976, 1.4055000000000002 
1977, 1.4351666666666667 
1978, 1.4653333333333334 
1979, 1.4408333333333332 
1980, 1.4128333333333334 
1981, 1.3946666666666665 
1982, 1.43775 
1983, 1.5036666666666667 
1984, 1.5018333333333336 
1985, 1.4648333333333332 
1986, 1.4553333333333331 
1987, 1.463916666666667 
1988, 1.4178333333333333 
1989, 1.4629166666666666 
1990, 1.45925 
1991, 1.501166666666667 
1992, 1.4954166666666666 
1993, 1.5029166666666665 
1994, 1.4702499999999998 
1995, 1.5475833333333335 
1996, 1.5049166666666667 
1997, 1.498 
1998, 1.5267499999999998 
1999, 1.5584999999999998 
2000, 1.502 
2001, 1.4650000000000005 
2002, 1.4777500000000001 
2003, 1.5194166666666664 
2004, 1.4605833333333331 
2005, 1.5114999999999998 
2006, 1.4999166666666666 
2007, 1.4745000000000001 
2008, 1.4847500000000002 
2009, 1.531 
2010, 1.5175833333333333 
2011, 1.4895833333333333 
2012, 1.5355 
2013, 1.5370000000000001 
2014, 1.6083333333333334 
2015, 1.6130833333333332 
2016, 1.6480833333333333 
2017, 1.5765 
2018, 1.6405 
2019, 1.6626666666666665 
2020, 1.6777500000000003 
2021, 1.64075 
2022, 1.6268333333333331 
