Year, Number of Storms, Total SEPI 
1936, 2, 3.216305 
1937, 1, 0.890880 
1939, 1, 1.265040 
1942, 1, 2.503851 
1944, 2, 7.953535 
1945, 7, 97.779353 
1947, 4, 10.506550 
1948, 1, 0.982351 
1949, 2, 1.622451 
1951, 2, 2.063879 
1952, 5, 14.038236 
1953, 3, 3.568682 
1954, 2, 21.331886 
1955, 2, 7.612543 
1956, 2, 1.718482 
1957, 3, 6.367684 
1958, 3, 5.663676 
1959, 4, 4.461551 
1960, 3, 4.257950 
1961, 4, 9.655634 
1962, 6, 8.105414 
1963, 7, 5.628239 
1964, 8, 7.734143 
1965, 2, 1.892727 
1966, 7, 6.552084 
1967, 4, 2.422222 
1968, 8, 10.441254 
1969, 11, 12.291470 
1970, 10, 12.448436 
1971, 7, 12.344025 
1972, 13, 28.803179 
1973, 16, 31.782006 
1974, 8, 5.723941 
1975, 2, 1.322677 
1976, 9, 11.684251 
1977, 10, 16.812311 
1978, 13, 17.822950 
1979, 6, 27.637025 
1980, 9, 13.545128 
1981, 11, 13.073653 
1982, 14, 14.767982 
1983, 16, 31.518361 
1984, 11, 27.071703 
1985, 10, 17.810471 
1986, 7, 8.019071 
1987, 16, 25.622223 
1988, 9, 7.277439 
1989, 12, 19.213652 
1990, 7, 15.842353 
1991, 4, 22.816366 
1992, 8, 19.357029 
1993, 8, 58.300398 
1994, 15, 20.875081 
1995, 10, 9.791841 
1996, 10, 67.745407 
1997, 10, 9.768856 
1998, 10, 70.341329 
1999, 13, 91.489969 
2000, 1, 0.635135 
2001, 8, 12.673712 
2002, 6, 26.907413 
2003, 14, 21.683529 
2004, 11, 25.690679 
2005, 14, 42.289837 
2006, 24, 59.752866 
2007, 13, 17.717719 
2008, 10, 51.754482 
2009, 9, 42.040546 
2010, 14, 64.784595 
2011, 5, 5.805859 
2012, 10, 8.779065 
2013, 12, 9.596377 
2014, 9, 8.793322 
2015, 9, 87.228938 
2016, 10, 115.093733 
2017, 7, 9.330946 
2018, 7, 335.066195 
2019, 9, 19.241520 
2020, 10, 23.249808 
2021, 13, 27.561042 
2022, 10, 47.484669 
