currentYear, averageSurge, standardDevSurge, surgeThreshold 
1935, -0.055132, 0.263054, 0.470976
1936, -0.000363, 0.229446, 0.458529
1937, -0.000717, 0.218639, 0.436561
1938, 0.000899, 0.213331, 0.427561
1939, -0.000218, 0.229148, 0.458078
1940, 0.000067, 0.230530, 0.461128
1941, 0.000413, 0.223833, 0.448079
1942, 0.000808, 0.227375, 0.455559
1943, 0.004604, 0.227889, 0.460382
1944, 0.006142, 0.221756, 0.449654
1945, 0.000989, 0.242469, 0.485927
1946, -0.000097, 0.209293, 0.418488
1947, -0.000215, 0.229817, 0.459419
1948, -0.000684, 0.201138, 0.401592
1949, -0.000365, 0.190924, 0.381482
1950, 0.003466, 0.186045, 0.375556
1951, -0.000218, 0.189004, 0.377790
1952, 0.000561, 0.181472, 0.363505
1953, -0.002633, 0.168106, 0.333579
1954, 0.000121, 0.180069, 0.360260
1955, -0.000197, 0.206032, 0.411868
1956, -0.000182, 0.181261, 0.362340
1957, 0.003703, 0.192057, 0.387817
1958, 0.000483, 0.169031, 0.338545
1959, 0.002293, 0.187620, 0.377532
1960, 0.022133, 0.169620, 0.361372
1961, 0.000521, 0.167318, 0.335157
1962, 0.007503, 0.169676, 0.346855
1963, -0.002164, 0.161937, 0.321711
1964, 0.000649, 0.175650, 0.351948
1965, 0.033887, 0.153121, 0.340129
1966, 0.000268, 0.151970, 0.304208
1967, -0.006235, 0.142458, 0.278680
1968, 0.011248, 0.138707, 0.288663
1969, 0.000017, 0.151618, 0.303252
1970, -0.000464, 0.123037, 0.245610
1971, 0.002017, 0.138833, 0.279682
1972, 0.000068, 0.136465, 0.272998
1973, -0.000540, 0.135443, 0.270346
1974, -0.000825, 0.138968, 0.277112
1975, -0.005334, 0.132565, 0.259795
1976, 0.001025, 0.137957, 0.276939
1977, 0.001073, 0.148807, 0.298688
1978, -0.000617, 0.126555, 0.252492
1979, -0.000224, 0.134274, 0.268324
1980, 0.000617, 0.130748, 0.262113
1981, 0.000604, 0.142581, 0.285766
1982, -0.000112, 0.145255, 0.290398
1983, -0.000390, 0.142293, 0.284196
1984, 0.000834, 0.130404, 0.261643
1985, 0.002327, 0.140526, 0.283380
1986, 0.003079, 0.135028, 0.273134
1987, 0.000214, 0.133322, 0.266859
1988, 0.000277, 0.116176, 0.232628
1989, 0.000499, 0.121881, 0.244261
1990, -0.003353, 0.121687, 0.240020
1991, 0.000710, 0.142065, 0.284840
1992, 0.000643, 0.143704, 0.288051
1993, -0.000133, 0.137451, 0.274768
1994, 0.000382, 0.134068, 0.268519
1995, 0.000620, 0.139715, 0.280051
1996, 0.000494, 0.172560, 0.345614
1997, 0.000275, 0.112318, 0.224912
1998, -0.002206, 0.168699, 0.335192
1999, -0.001107, 0.170659, 0.340210
2000, 0.020148, 0.130884, 0.281917
2001, 0.001346, 0.124525, 0.250397
2002, -0.000029, 0.138252, 0.276476
2003, 0.000164, 0.143671, 0.287505
2004, 0.000642, 0.133642, 0.267925
2005, 0.000310, 0.132444, 0.265198
2006, 0.000009, 0.147098, 0.294205
2007, -0.000123, 0.135321, 0.270519
2008, 0.000752, 0.157738, 0.316229
2009, 0.001237, 0.184070, 0.369377
2010, -0.001061, 0.143704, 0.286347
2011, 0.000282, 0.130683, 0.261648
2012, 0.000713, 0.141127, 0.282967
2013, 0.001135, 0.130759, 0.262653
2014, -0.000521, 0.116026, 0.231532
2015, 0.000394, 0.154920, 0.310235
2016, 0.000737, 0.160020, 0.320777
2017, 0.000253, 0.145823, 0.291899
2018, -0.000331, 0.220633, 0.440936
2019, 0.000183, 0.127300, 0.254783
2020, 0.000320, 0.147567, 0.295455
2021, 0.000002, 0.128912, 0.257826
2022, 0.000229, 0.143465, 0.287160
